@relation   wdbc
@attribute Radius1 real[6.981,28.11]
@attribute Texture1 real[9.71,39.28]
@attribute Perimeter1 real[43.79,188.5]
@attribute Area1 real[143.5,2501.0]
@attribute Smoothness1 real[0.053,0.163]
@attribute Compactness1 real[0.019,0.345]
@attribute Concavity1 real[0.0,0.427]
@attribute Concave_points1 real[0.0,0.201]
@attribute Symmetry1 real[0.106,0.304]
@attribute Fractal_dimension1 real[0.05,0.097]
@attribute Radius2 real[0.112,2.873]
@attribute Texture2 real[0.36,4.885]
@attribute Perimeter2 real[0.757,21.98]
@attribute Area2 real[6.802,542.2]
@attribute Smoothness2 real[0.002,0.031]
@attribute Compactness2 real[0.002,0.135]
@attribute Concavity2 real[0.0,0.396]
@attribute Concave_points2 real[0.0,0.053]
@attribute Symmetry2 real[0.008,0.079]
@attribute Fractal_dimension2 real[0.001,0.03]
@attribute Radius3 real[7.93,36.04]
@attribute Texture3 real[12.02,49.54]
@attribute Perimeter3 real[50.41,251.2]
@attribute Area3 real[185.2,4254.0]
@attribute Smoothness3 real[0.071,0.223]
@attribute Compactness3 real[0.027,1.058]
@attribute Concavity3 real[0.0,1.252]
@attribute Concave_points3 real[0.0,0.291]
@attribute Symmetry3 real[0.156,0.664]
@attribute Fractal_dimension3 real[0.055,0.208]
@attribute Class{M,B}
@inputs Radius1,Texture1,Perimeter1,Area1,Smoothness1,Compactness1,Concavity1,Concave_points1,Symmetry1,Fractal_dimension1,Radius2,Texture2,Perimeter2,Area2,Smoothness2,Compactness2,Concavity2,Concave_points2,Symmetry2,Fractal_dimension2,Radius3,Texture3,Perimeter3,Area3,Smoothness3,Compactness3,Concavity3,Concave_points3,Symmetry3,Fractal_dimension3
@outputs Class
@data
17.57, 15.05, 115.0, 955.1, 0.098, 0.116, 0.099, 0.08, 0.174, 0.061, 0.6, 0.822, 4.655, 61.1, 0.006, 0.03, 0.034, 0.014, 0.019, 0.004, 20.01, 19.52, 134.9, 1227.0, 0.126, 0.281, 0.249, 0.146, 0.276, 0.079, M
15.49, 19.97, 102.4, 744.7, 0.116, 0.156, 0.189, 0.091, 0.193, 0.067, 0.647, 1.331, 4.675, 66.91, 0.007, 0.029, 0.05, 0.016, 0.019, 0.004, 21.2, 29.41, 142.1, 1359.0, 0.168, 0.391, 0.555, 0.212, 0.319, 0.102, M
19.02, 24.59, 122.0, 1076.0, 0.09, 0.121, 0.147, 0.083, 0.195, 0.056, 0.55, 0.664, 3.055, 57.65, 0.004, 0.018, 0.037, 0.012, 0.02, 0.003, 24.56, 30.41, 152.9, 1623.0, 0.125, 0.321, 0.576, 0.196, 0.396, 0.093, M
21.61, 22.28, 144.4, 1407.0, 0.117, 0.209, 0.281, 0.156, 0.216, 0.066, 0.624, 0.921, 4.158, 80.99, 0.005, 0.037, 0.047, 0.013, 0.02, 0.004, 26.23, 28.74, 172.0, 2081.0, 0.15, 0.572, 0.705, 0.242, 0.383, 0.101, M
16.26, 21.88, 107.5, 826.8, 0.116, 0.128, 0.18, 0.08, 0.187, 0.065, 0.571, 1.457, 2.961, 57.72, 0.011, 0.038, 0.058, 0.012, 0.04, 0.006, 17.73, 25.21, 113.7, 975.2, 0.143, 0.212, 0.334, 0.105, 0.274, 0.08, M
18.01, 20.56, 118.4, 1007.0, 0.1, 0.129, 0.117, 0.078, 0.212, 0.061, 0.755, 1.288, 5.353, 89.74, 0.008, 0.027, 0.037, 0.016, 0.029, 0.004, 21.53, 26.06, 143.4, 1426.0, 0.131, 0.233, 0.254, 0.149, 0.325, 0.076, M
11.84, 18.7, 77.93, 440.6, 0.111, 0.152, 0.122, 0.052, 0.23, 0.078, 0.482, 1.03, 3.475, 41.0, 0.006, 0.034, 0.042, 0.01, 0.023, 0.006, 16.82, 28.12, 119.4, 888.7, 0.164, 0.578, 0.696, 0.155, 0.476, 0.14, M
14.71, 21.59, 95.55, 656.9, 0.114, 0.136, 0.129, 0.081, 0.203, 0.068, 0.423, 1.15, 2.735, 40.09, 0.004, 0.029, 0.026, 0.013, 0.018, 0.004, 17.87, 30.7, 115.7, 985.5, 0.137, 0.429, 0.359, 0.183, 0.37, 0.109, M
19.81, 22.15, 130.0, 1260.0, 0.098, 0.103, 0.148, 0.095, 0.158, 0.054, 0.758, 1.017, 5.865, 112.4, 0.006, 0.019, 0.034, 0.015, 0.014, 0.002, 27.32, 30.88, 186.8, 2398.0, 0.151, 0.315, 0.537, 0.239, 0.277, 0.076, M
17.93, 24.48, 115.2, 998.9, 0.089, 0.07, 0.057, 0.047, 0.154, 0.055, 0.421, 1.433, 2.765, 45.81, 0.005, 0.012, 0.016, 0.009, 0.014, 0.003, 20.92, 34.69, 135.1, 1320.0, 0.132, 0.181, 0.208, 0.114, 0.25, 0.079, M
14.86, 23.21, 100.4, 671.4, 0.104, 0.198, 0.17, 0.089, 0.174, 0.067, 0.28, 0.962, 3.591, 25.2, 0.008, 0.051, 0.056, 0.019, 0.025, 0.004, 16.08, 27.78, 118.6, 784.7, 0.132, 0.465, 0.459, 0.173, 0.3, 0.087, M
19.44, 18.82, 128.1, 1167.0, 0.109, 0.145, 0.226, 0.119, 0.182, 0.061, 0.566, 1.408, 3.631, 67.74, 0.005, 0.028, 0.043, 0.012, 0.017, 0.003, 23.96, 30.39, 153.9, 1740.0, 0.151, 0.372, 0.594, 0.206, 0.327, 0.09, M
14.27, 22.55, 93.77, 629.8, 0.104, 0.115, 0.146, 0.061, 0.193, 0.06, 0.203, 1.851, 1.895, 18.54, 0.006, 0.026, 0.046, 0.013, 0.015, 0.004, 15.29, 34.27, 104.3, 728.3, 0.138, 0.273, 0.423, 0.136, 0.27, 0.084, M
20.55, 20.86, 137.8, 1308.0, 0.105, 0.174, 0.208, 0.132, 0.213, 0.063, 0.699, 0.99, 4.706, 87.78, 0.005, 0.026, 0.04, 0.014, 0.019, 0.003, 24.3, 25.48, 160.2, 1809.0, 0.127, 0.314, 0.443, 0.215, 0.308, 0.076, M
17.99, 10.38, 122.8, 1001.0, 0.118, 0.278, 0.3, 0.147, 0.242, 0.079, 1.095, 0.905, 8.589, 153.4, 0.006, 0.049, 0.054, 0.016, 0.03, 0.006, 25.38, 17.33, 184.6, 2019.0, 0.162, 0.666, 0.712, 0.265, 0.46, 0.119, M
19.79, 25.12, 130.4, 1192.0, 0.102, 0.159, 0.254, 0.115, 0.22, 0.061, 0.495, 1.199, 2.765, 63.33, 0.005, 0.032, 0.048, 0.01, 0.016, 0.003, 22.63, 33.58, 148.7, 1589.0, 0.128, 0.386, 0.567, 0.173, 0.33, 0.085, M
15.75, 20.25, 102.6, 761.3, 0.102, 0.12, 0.115, 0.065, 0.194, 0.063, 0.347, 0.921, 2.244, 32.19, 0.005, 0.024, 0.024, 0.009, 0.018, 0.003, 19.56, 30.29, 125.9, 1088.0, 0.155, 0.448, 0.398, 0.148, 0.399, 0.106, M
24.63, 21.6, 165.5, 1841.0, 0.103, 0.211, 0.231, 0.147, 0.199, 0.067, 0.992, 0.9, 7.05, 139.9, 0.005, 0.032, 0.036, 0.016, 0.019, 0.005, 29.92, 26.93, 205.7, 2642.0, 0.134, 0.419, 0.466, 0.248, 0.316, 0.097, M
11.76, 18.14, 75.0, 431.1, 0.1, 0.059, 0.027, 0.035, 0.162, 0.063, 0.645, 2.105, 4.138, 49.11, 0.006, 0.01, 0.013, 0.014, 0.016, 0.003, 13.36, 23.39, 85.1, 553.6, 0.114, 0.08, 0.061, 0.072, 0.198, 0.069, M
14.68, 20.13, 94.74, 684.5, 0.099, 0.072, 0.074, 0.053, 0.159, 0.059, 0.473, 1.24, 3.195, 45.4, 0.006, 0.012, 0.02, 0.011, 0.014, 0.002, 19.07, 30.88, 123.4, 1138.0, 0.146, 0.187, 0.291, 0.161, 0.303, 0.082, M
18.31, 20.58, 120.8, 1052.0, 0.107, 0.125, 0.157, 0.095, 0.186, 0.059, 0.545, 0.922, 3.218, 67.36, 0.006, 0.019, 0.029, 0.01, 0.016, 0.003, 21.86, 26.2, 142.2, 1493.0, 0.149, 0.254, 0.376, 0.151, 0.307, 0.079, M
27.22, 21.87, 182.1, 2250.0, 0.109, 0.191, 0.287, 0.188, 0.18, 0.058, 0.836, 1.481, 5.82, 128.7, 0.005, 0.025, 0.031, 0.012, 0.016, 0.003, 33.12, 32.85, 220.8, 3216.0, 0.147, 0.403, 0.534, 0.269, 0.286, 0.081, M
11.27, 15.5, 73.38, 392.0, 0.084, 0.111, 0.101, 0.028, 0.181, 0.073, 0.33, 1.067, 2.569, 22.97, 0.01, 0.067, 0.095, 0.02, 0.012, 0.012, 12.04, 18.93, 79.73, 450.0, 0.11, 0.281, 0.302, 0.083, 0.216, 0.104, B
10.25, 16.18, 66.52, 324.2, 0.106, 0.111, 0.067, 0.04, 0.174, 0.073, 0.368, 1.471, 1.597, 22.68, 0.01, 0.043, 0.04, 0.015, 0.027, 0.008, 11.28, 20.61, 71.53, 390.4, 0.14, 0.236, 0.19, 0.097, 0.261, 0.097, B
11.71, 15.45, 75.03, 420.3, 0.115, 0.073, 0.04, 0.032, 0.201, 0.065, 0.345, 0.74, 2.355, 24.53, 0.01, 0.011, 0.017, 0.011, 0.02, 0.003, 13.06, 18.16, 84.16, 516.4, 0.146, 0.112, 0.109, 0.079, 0.276, 0.078, B
14.44, 15.18, 93.97, 640.1, 0.1, 0.102, 0.085, 0.055, 0.172, 0.061, 0.241, 0.739, 2.12, 21.2, 0.006, 0.023, 0.031, 0.015, 0.015, 0.003, 15.85, 19.85, 108.6, 766.9, 0.132, 0.274, 0.31, 0.16, 0.269, 0.077, B
11.52, 14.93, 73.87, 406.3, 0.101, 0.078, 0.043, 0.029, 0.188, 0.062, 0.256, 1.038, 1.686, 18.62, 0.007, 0.012, 0.021, 0.01, 0.017, 0.003, 12.65, 21.19, 80.88, 491.8, 0.139, 0.158, 0.18, 0.096, 0.266, 0.078, B
13.85, 15.18, 88.99, 587.4, 0.095, 0.077, 0.045, 0.037, 0.211, 0.059, 0.248, 0.92, 1.83, 19.41, 0.004, 0.015, 0.015, 0.01, 0.015, 0.002, 14.98, 21.74, 98.37, 670.0, 0.118, 0.172, 0.146, 0.1, 0.296, 0.069, B
12.32, 12.39, 78.85, 464.1, 0.103, 0.07, 0.04, 0.037, 0.196, 0.06, 0.236, 0.666, 1.67, 17.43, 0.008, 0.012, 0.017, 0.012, 0.019, 0.002, 13.5, 15.64, 86.97, 549.1, 0.138, 0.127, 0.124, 0.094, 0.283, 0.068, B
8.196, 16.84, 51.71, 201.9, 0.086, 0.059, 0.016, 0.006, 0.177, 0.065, 0.156, 0.957, 1.094, 8.205, 0.009, 0.016, 0.016, 0.006, 0.026, 0.003, 8.964, 21.96, 57.26, 242.2, 0.13, 0.136, 0.069, 0.026, 0.31, 0.074, B
