Dataset,Algorithm,Number of classes,Train size,Test size,CV index,MCC,TS,Specificity,AUC,Accuracy,Precision,Recall,F1,TN,FP,FN,TP,Train time [s],Prediction time [s],Mixed
appendicitis,1R-C,-1,-1,-1,1,0.5555555555555556,0.5,0.8888888888888888,0.7777777777777777,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,8,1,1,2,0.2182874679565429,-1,0.8055555555555555
appendicitis,1R-C,-1,-1,-1,2,0.3888888888888889,0.3333333333333333,0.8888888888888888,0.6944444444444444,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,8,1,1,1,0.3080368041992187,-1,0.7631313131313131
appendicitis,1R-C,-1,-1,-1,3,0.240562612162344,0.25,0.7777777777777778,0.638888888888889,0.7272727272727273,0.7765151515151515,0.7272727272727273,0.746524064171123,7,2,1,1,0.2743723392486572,-1,0.6814094437394304
appendicitis,1R-C,-1,-1,-1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,0,0,2,0.2640495300292969,-1,1.0
appendicitis,1R-C,-1,-1,-1,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,0,0,2,0.2959151268005371,-1,1.0
appendicitis,1R-C,-1,-1,-1,6,0.0,0.0,1.0,0.5,0.8,0.64,0.8,0.7111111111111111,8,0,2,0,0.2788348197937011,-1,0.672
appendicitis,1R-C,-1,-1,-1,7,0.0,0.0,1.0,0.5,0.8,0.64,0.8,0.7111111111111111,8,0,2,0,0.2525515556335449,-1,0.672
appendicitis,1R-C,-1,-1,-1,8,0.0,0.0,1.0,0.5,0.8,0.64,0.8,0.7111111111111111,8,0,2,0,0.2791745662689209,-1,0.672
appendicitis,1R-C,-1,-1,-1,9,0.6666666666666666,0.5,1.0,0.75,0.9,0.9111111111111112,0.9,0.8862745098039216,8,0,1,1,0.2919754981994629,-1,0.8488888888888889
appendicitis,1R-C,-1,-1,-1,10,0.0,0.0,1.0,0.5,0.8,0.64,0.8,0.7111111111111111,8,0,2,0,0.2963275909423828,-1,0.672
appendicitis,C45-C,-1,-1,-1,1,0.2581988897471611,0.25,0.8888888888888888,0.611111111111111,0.75,0.725,0.75,0.7315789473684212,8,1,2,1,0.1853432655334472,-1,0.6894377222651359
appendicitis,C45-C,-1,-1,-1,2,0.6236095644623235,0.5,0.7777777777777778,0.8888888888888888,0.8181818181818182,0.9090909090909092,0.8181818181818182,0.8371212121212122,7,2,0,2,0.1940400600433349,-1,0.8321905792332173
appendicitis,C45-C,-1,-1,-1,3,0.3888888888888889,0.3333333333333333,0.8888888888888888,0.6944444444444444,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,8,1,1,1,0.1849267482757568,-1,0.7631313131313131
appendicitis,C45-C,-1,-1,-1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,0,0,2,0.1854786872863769,-1,1.0
appendicitis,C45-C,-1,-1,-1,5,0.6708203932499369,0.5,1.0,0.75,0.9090909090909092,0.918181818181818,0.9090909090909092,0.8963317384370018,9,0,1,1,0.1879746913909912,-1,0.8544501105715878
appendicitis,C45-C,-1,-1,-1,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0,0,2,0.1855618953704834,-1,1.0
appendicitis,C45-C,-1,-1,-1,7,0.0,0.0,1.0,0.5,0.8,0.64,0.8,0.7111111111111111,8,0,2,0,0.173985481262207,-1,0.672
appendicitis,C45-C,-1,-1,-1,8,0.0,0.0,1.0,0.5,0.8,0.64,0.8,0.7111111111111111,8,0,2,0,0.2009587287902832,-1,0.672
appendicitis,C45-C,-1,-1,-1,9,0.6666666666666666,0.5,1.0,0.75,0.9,0.9111111111111112,0.9,0.8862745098039216,8,0,1,1,0.1977932453155517,-1,0.8488888888888889
appendicitis,C45-C,-1,-1,-1,10,0.0,0.0,1.0,0.5,0.8,0.64,0.8,0.7111111111111111,8,0,2,0,0.1939022541046142,-1,0.672
appendicitis,C45Rules-C,-1,-1,-1,1,0.1111111111111111,0.2,0.7777777777777778,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,7,2,2,1,0.2372584342956543,-1,0.6111111111111112
appendicitis,C45Rules-C,-1,-1,-1,2,0.6236095644623235,0.5,0.7777777777777778,0.8888888888888888,0.8181818181818182,0.9090909090909092,0.8181818181818182,0.8371212121212122,7,2,0,2,0.292393684387207,-1,0.8321905792332173
appendicitis,C45Rules-C,-1,-1,-1,3,0.3888888888888889,0.3333333333333333,0.8888888888888888,0.6944444444444444,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,8,1,1,1,0.2743010520935058,-1,0.7631313131313131
