,Algorithm,MCC,MCC +/-,Specificity,Specificity +/-,AUC,AUC +/-,Accuracy,Accuracy +/-,Precision,Precision +/-,Recall,Recall +/-,Mixed,Mixed +/-
1,GPR,0.4588018973960135,0.341525434951865,0.8069723194877317,0.2814127803059922,0.7203945707410586,0.17141063121715444,0.7915924444453972,0.12476513429929753,0.7715796522516408,0.16690203966227177,0.7915924444453972,0.12476513429929753,0.7533619091240554,0.14525768185321578
2,OIGA-C,0.4568062397443315,0.3369452557713825,0.859613087309948,0.2531237211896591,0.713676093358095,0.17232897581036297,0.7925401198017378,0.11422790435899306,0.7816299608169499,0.15165562532526258,0.7925401198017378,0.11422790435899306,0.7549023582919457,0.13812608689428327
3,Ripper-C,0.4519178845427739,0.31888338718429676,0.675891538290372,0.24292234626543188,0.7298522920999694,0.16198053451076785,0.7346589435616228,0.15822157637059675,0.7803464686205648,0.1387238167772088,0.7346589435616228,0.15822157637059675,0.7184259011615689,0.16409613190373087
4,C45RulesSA-C,0.44890858359064234,0.34265537339029717,0.7515150810921692,0.2547583329547544,0.7266842531717531,0.17196288976881813,0.7688392527371065,0.13996564689754445,0.7763696513936615,0.14674223113488374,0.7688392527371065,0.13996564689754445,0.7397065307607582,0.1567610458668735
5,OCEC-C,0.4470419107789739,0.32307511633273933,0.7527373982786612,0.22129974204596803,0.7260598932886779,0.1639347734865059,0.752546103435376,0.14541225444740416,0.7705255856527019,0.14549032708181328,0.752546103435376,0.14541225444740416,0.730233569611577,0.15640650917018867
6,NSLV-C,0.44627094413188406,0.3380089673018226,0.7913655903960262,0.2984845525449023,0.7164541741798396,0.17111616583127118,0.7946714436161427,0.12163087064579768,0.7706421158714066,0.14837398942957816,0.7946714436161427,0.12163087064579768,0.7524194787627962,0.14148496542415087
7,C45Rules-C,0.4455596503326805,0.3402545032029996,0.7378326336255784,0.27317913443593134,0.7238063479563381,0.17324780402734108,0.7675023565935676,0.1421112952552571,0.7769203806189079,0.14123691948670344,0.7675023565935676,0.1421112952552571,0.737283833742222,0.15889875404956524
8,DT_GA-C,0.4419851107985318,0.3293016916624597,0.7993636406327468,0.2670801384588675,0.7115128732424891,0.16251673747305706,0.7840267382582401,0.11562818469010945,0.7752846381737213,0.13801243521752307,0.7840267382582401,0.11562818469010945,0.7455002374950288,0.13515611482773962
9,SLAVE2-C,0.4381597807758416,0.33802913706992715,0.791646235279912,0.29567763156434446,0.7117020358662313,0.16983762321773105,0.786140441060423,0.12263644928685496,0.7689607368557422,0.14809421234813427,0.786140441060423,0.12263644928685496,0.7458261909886768,0.14365567137043875
10,C45-C,0.43794051371979376,0.34336434346134836,0.7846456754271597,0.2644807694669842,0.7104858616539408,0.17102436523843104,0.7822165345847851,0.12832716160713967,0.772123988699689,0.1457091172906937,0.7822165345847851,0.12832716160713967,0.7431003614101462,0.1465442242968059
11,Hider-C,0.4144333748298728,0.3364881235266349,0.7966537617979462,0.2743421690706961,0.6928073297462137,0.16674942067444817,0.76657308574164,0.13763510289490985,0.7629546555688953,0.14405735108834222,0.76657308574164,0.13763510289490985,0.7281594856916019,0.14971663017413644
12,DT_Oblique-C,0.4018592627804609,0.34582472939378883,0.7407525391687697,0.22192716208652166,0.7031893712377263,0.17317901049709972,0.744571975903456,0.14591907588833394,0.7535255843633798,0.14858487731190906,0.744571975903456,0.14591907588833394,0.7152782674338491,0.16045367810985744
13,SLAVEv0-C,0.39435401608776294,0.373829307131161,0.761123079257368,0.3154910753524768,0.69075119078798,0.18172357383482196,0.772365353539868,0.13673082263984357,0.7493101358444002,0.1611507525095172,0.772365353539868,0.13673082263984357,0.727265663242798,0.1579478010100688
14,PGIRLA-C,0.32685067615115904,0.33695134425403017,0.8190823662771575,0.2687001647868318,0.6549338072682023,0.1648704709756525,0.715523447169537,0.19307730132296905,0.6683265929767404,0.23931368184660612,0.715523447169537,0.19307730132296905,0.6807310198939588,0.17166037572268397
15,EACH-C,0.26439726196125846,0.33952715252103277,0.6211597589348881,0.41712997079753855,0.6255265232330677,0.16464130349080594,0.6620258020380362,0.18472988596065185,0.6749639241450693,0.23844243280450872,0.6620258020380362,0.18472988596065185,0.629798195342901,0.17957177651357142
16,1R-C,0.22815263876565295,0.3312563626586872,0.651613490886657,0.3777181001585786,0.6097300926124544,0.15983493851851943,0.7025274896871698,0.1623503778151078,0.6362807877123968,0.2109568519730079,0.7025274896871698,0.1623503778151078,0.6451114929799151,0.1597351628589158
