Number of Rules: 115
Rule(1):  IF Tumor-size = 2 AND Node-caps = 1 THEN Class =  1 (RS: 0.18518518518518517)
Rule(2):  IF Tumor-size = 2 AND Node-caps = 0 AND Breast = 0 THEN Class =  1 (RS: 0.1728395061728395)
Rule(3):  IF Tumor-size = 2 AND Breast-quad = 0 THEN Class =  1 (RS: 0.1728395061728395)
Rule(4):  IF Node-caps = 1 AND Deg-malig = 3 AND Irradiated = 1 THEN Class =  1 (RS: 0.13580246913580246)
Rule(5):  IF Deg-malig = 2 AND Breast = 0 AND Breast-quad = 0 THEN Class =  0 (RS: 0.11734693877551021)
Rule(6):  IF Deg-malig = 3 AND Breast-quad = 1 AND Irradiated = 1 THEN Class =  1 (RS: 0.1111111111111111)
Rule(7):  IF Tumor-size = 2 AND Deg-malig = 3 AND Breast = 1 AND Irradiated = 1 THEN Class =  1 (RS: 0.09876543209876543)
Rule(8):  IF Tumor-size = 0 AND Deg-malig = 0 AND Irradiated = 0 THEN Class =  0 (RS: 0.09183673469387756)
Rule(9):  IF Tumor-size = 1 AND Irradiated = 1 THEN Class =  1 (RS: 0.08641975308641975)
Rule(10):  IF Age = 2 AND Breast-quad = 0 THEN Class =  1 (RS: 0.07407407407407407)
Rule(11):  IF Menopause = 2 AND Tumor-size = 1 AND Deg-malig = 2 AND Breast = 1 AND Breast-quad = 1 THEN Class =  1 (RS: 0.06172839506172839)
Rule(12):  IF Age = 4 AND Node-caps = 0 AND Deg-malig = 0 AND Breast-quad = 1 THEN Class =  0 (RS: 0.04591836734693878)
Rule(13):  IF Age = 4 AND Menopause = 2 AND Tumor-size = 2 AND Inv-nodes = 0 AND Node-caps = 0 AND Deg-malig = 2 AND Breast = 1 AND Breast-quad = 2 AND Irradiated = 0 THEN Class =  1 (RS: 0.024691358024691357)
Rule(14):  IF Age = 2 AND Menopause = 2 AND Tumor-size = 3 AND Inv-nodes = 0 AND Node-caps = 0 AND Deg-malig = 3 AND Breast = 1 AND Breast-quad = 1 AND Irradiated = 0 THEN Class =  1 (RS: 0.024691358024691357)
Rule(15):  IF Age = 5 AND Node-caps = 0 AND Deg-malig = 0 AND Breast = 1 AND Breast-quad = 1 THEN Class =  0 (RS: 0.02040816326530612)
