Number of Rules: 208
Rule(1):  IF Tobacco = 1 AND Age = 4 THEN Class =  1 (RS: 0.125)
Rule(2):  IF Ldl = 0 AND Famhist = 1 AND Alcohol = 0 AND Age = 0 THEN Class =  0 (RS: 0.11920529801324503)
Rule(3):  IF Famhist = 1 AND Obesity = 1 AND Age = 1 THEN Class =  0 (RS: 0.09602649006622517)
Rule(4):  IF Sbp = 0 AND Ldl = 0 AND Age = 0 THEN Class =  0 (RS: 0.076158940397351)
Rule(5):  IF Adiposity = 3 AND Famhist = 0 AND Age = 4 THEN Class =  1 (RS: 0.075)
Rule(6):  IF Adiposity = 3 AND Typea = 4 THEN Class =  1 (RS: 0.0625)
Rule(7):  IF Sbp = 0 AND Tobacco = 0 AND Adiposity = 3 THEN Class =  0 (RS: 0.059602649006622516)
Rule(8):  IF Sbp = 0 AND Typea = 2 AND Alcohol = 0 AND Age = 0 THEN Class =  0 (RS: 0.056291390728476824)
Rule(9):  IF Tobacco = 1 AND Ldl = 2 AND Famhist = 0 THEN Class =  1 (RS: 0.05)
Rule(10):  IF Sbp = 3 AND Alcohol = 0 AND Age = 4 THEN Class =  1 (RS: 0.04375)
Rule(11):  IF Sbp = 0 AND Obesity = 0 AND Alcohol = 0 THEN Class =  0 (RS: 0.04304635761589404)
Rule(12):  IF Tobacco = 0 AND Ldl = 0 AND Typea = 3 AND Obesity = 1 AND Age = 0 THEN Class =  0 (RS: 0.04304635761589404)
Rule(13):  IF Sbp = 2 AND Ldl = 1 AND Adiposity = 3 THEN Class =  0 (RS: 0.03642384105960265)
Rule(14):  IF Tobacco = 0 AND Famhist = 1 AND Typea = 1 AND Obesity = 1 THEN Class =  0 (RS: 0.033112582781456956)
Rule(15):  IF Ldl = 0 AND Famhist = 0 AND Age = 1 THEN Class =  0 (RS: 0.033112582781456956)
Rule(16):  IF Ldl = 1 AND Famhist = 1 AND Typea = 3 AND Age = 4 THEN Class =  1 (RS: 0.03125)
Rule(17):  IF Sbp = 1 AND Adiposity = 0 AND Typea = 3 AND Age = 0 THEN Class =  0 (RS: 0.026490066225165563)
Rule(18):  IF Sbp = 1 AND Ldl = 1 AND Adiposity = 2 AND Alcohol = 0 AND Age = 2 THEN Class =  0 (RS: 0.026490066225165563)
Rule(19):  IF Tobacco = 1 AND Adiposity = 3 AND Age = 3 THEN Class =  1 (RS: 0.025)
Rule(20):  IF Sbp = 2 AND Tobacco = 0 AND Adiposity = 4 AND Typea = 3 THEN Class =  1 (RS: 0.025)
Rule(21):  IF Adiposity = 2 AND Famhist = 1 AND Typea = 2 AND Age = 1 THEN Class =  0 (RS: 0.023178807947019868)
Rule(22):  IF Sbp = 1 AND Adiposity = 2 AND Famhist = 0 AND Obesity = 1 AND Alcohol = 1 THEN Class =  1 (RS: 0.01875)
Rule(23):  IF Sbp = 1 AND Tobacco = 0 AND Ldl = 0 AND Adiposity = 2 AND Famhist = 1 AND Typea = 2 AND Obesity = 1 AND Alcohol = 0 AND Age = 2 THEN Class =  1 (RS: 0.0125)
Rule(24):  IF Tobacco = 1 AND Famhist = 1 AND Typea = 3 AND Obesity = 1 AND Age = 3 THEN Class =  0 (RS: 0.009933774834437087)
Rule(25):  IF Sbp = 1 AND Tobacco = 0 AND Ldl = 0 AND Adiposity = 2 AND Famhist = 1 AND Typea = 3 AND Obesity = 1 AND Alcohol = 0 AND Age = 3 THEN Class =  0 (RS: 0.009933774834437087)
Rule(26):  IF Sbp = 1 AND Tobacco = 0 AND Ldl = 1 AND Adiposity = 2 AND Famhist = 0 AND Typea = 2 AND Obesity = 1 AND Alcohol = 0 AND Age = 1 THEN Class =  0 (RS: 0.006622516556291391)
Rule(27):  IF Sbp = 1 AND Tobacco = 0 AND Ldl = 1 AND Adiposity = 2 AND Famhist = 1 AND Typea = 3 AND Obesity = 2 AND Alcohol = 0 AND Age = 1 THEN Class =  0 (RS: 0.006622516556291391)
Rule(28):  IF Sbp = 1 AND Tobacco = 0 AND Ldl = 1 AND Adiposity = 1 AND Famhist = 1 AND Typea = 3 AND Obesity = 1 AND Alcohol = 0 AND Age = 2 THEN Class =  0 (RS: 0.006622516556291391)
Rule(29):  IF Sbp = 1 AND Tobacco = 0 AND Ldl = 0 AND Adiposity = 1 AND Famhist = 1 AND Typea = 3 AND Obesity = 0 AND Alcohol = 0 AND Age = 2 THEN Class =  0 (RS: 0.006622516556291391)
Rule(30):  IF Sbp = 1 AND Tobacco = 0 AND Ldl = 0 AND Adiposity = 1 AND Famhist = 1 AND Typea = 3 AND Obesity = 1 AND Alcohol = 0 AND Age = 2 THEN Class =  0 (RS: 0.006622516556291391)
Rule(31):  IF Sbp = 1 AND Tobacco = 0 AND Ldl = 0 AND Adiposity = 3 AND Famhist = 1 AND Typea = 3 AND Obesity = 2 AND Alcohol = 0 AND Age = 4 THEN Class =  0 (RS: 0.006622516556291391)
Rule(32):  IF Sbp = 1 AND Tobacco = 0 AND Ldl = 1 AND Adiposity = 1 AND Famhist = 1 AND Typea = 2 AND Obesity = 1 AND Alcohol = 0 AND Age = 0 THEN Class =  0 (RS: 0.006622516556291391)
Rule(33):  IF Sbp = 1 AND Tobacco = 0 AND Ldl = 0 AND Adiposity = 3 AND Famhist = 1 AND Typea = 2 AND Obesity = 2 AND Alcohol = 1 AND Age = 3 THEN Class =  0 (RS: 0.006622516556291391)
Rule(34):  IF Sbp = 1 AND Tobacco = 0 AND Ldl = 1 AND Adiposity = 2 AND Famhist = 1 AND Typea = 4 AND Obesity = 1 AND Alcohol = 0 AND Age = 4 THEN Class =  0 (RS: 0.006622516556291391)
Rule(35):  IF Sbp = 0 AND Tobacco = 0 AND Ldl = 1 AND Adiposity = 1 AND Famhist = 0 AND Typea = 3 AND Obesity = 1 AND Alcohol = 0 AND Age = 4 THEN Class =  1 (RS: 0.00625)
Rule(36):  IF Sbp = 0 AND Tobacco = 0 AND Ldl = 1 AND Adiposity = 4 AND Famhist = 1 AND Typea = 3 AND Obesity = 2 AND Alcohol = 0 AND Age = 64 THEN Class =  1 (RS: 0.00625)
