Number of Rules: 121
Rule(1):  IF Deg-malig = 0 AND Breast = 1 AND Irradiated = 0 THEN Class =  0 (RS: 0.1534090909090909)
Rule(2):  IF Tumor-size = 2 AND Node-caps = 1 AND Deg-malig = 3 THEN Class =  1 (RS: 0.1506849315068493)
Rule(3):  IF Tumor-size = 2 AND Deg-malig = 3 AND Breast = 1 AND Irradiated = 1 THEN Class =  1 (RS: 0.1095890410958904)
Rule(4):  IF Age = 5 AND Breast = 1 AND Irradiated = 0 THEN Class =  0 (RS: 0.10795454545454546)
Rule(5):  IF Tumor-size = 0 AND Node-caps = 0 AND Breast = 1 THEN Class =  0 (RS: 0.09659090909090909)
Rule(6):  IF Tumor-size = 0 AND Node-caps = 0 AND Breast = 0 AND Irradiated = 0 THEN Class =  0 (RS: 0.08522727272727272)
Rule(7):  IF Age = 2 AND Tumor-size = 2 THEN Class =  1 (RS: 0.0821917808219178)
Rule(8):  IF Age = 3 AND Tumor-size = 2 AND Node-caps = 1 AND Irradiated = 0 THEN Class =  1 (RS: 0.0684931506849315)
Rule(9):  IF Deg-malig = 3 AND Breast-quad = 2 THEN Class =  1 (RS: 0.0684931506849315)
Rule(10):  IF Deg-malig = 3 AND Breast = 0 AND Irradiated = 1 THEN Class =  1 (RS: 0.0547945205479452)
Rule(11):  IF Age = 2 AND Node-caps = 0 AND Breast = 1 AND Breast-quad = 0 THEN Class =  1 (RS: 0.0410958904109589)
Rule(12):  IF Age = 4 AND Deg-malig = 0 AND Breast-quad = 0 THEN Class =  0 (RS: 0.028409090909090908)
Rule(13):  IF Menopause = 0 THEN Class =  0 (RS: 0.028409090909090908)
Rule(14):  IF Age = 4 AND Breast-quad = 2 THEN Class =  0 (RS: 0.028409090909090908)
Rule(15):  IF Age = 4 AND Menopause = 2 AND Tumor-size = 3 AND Inv-nodes = 0 AND Node-caps = 1 AND Deg-malig = 3 AND Breast = 1 AND Breast-quad = 1 AND Irradiated = 1 THEN Class =  1 (RS: 0.0273972602739726)
Rule(16):  IF Age = 2 AND Menopause = 2 AND Tumor-size = 3 AND Inv-nodes = 0 AND Node-caps = 0 AND Deg-malig = 3 AND Breast = 1 AND Breast-quad = 1 AND Irradiated = 0 THEN Class =  1 (RS: 0.0273972602739726)
Rule(17):  IF Age = 3 AND Menopause = 2 AND Tumor-size = 2 AND Inv-nodes = 0 AND Node-caps = 0 AND Deg-malig = 2 AND Breast = 0 AND Breast-quad = 1 AND Irradiated = 0 THEN Class =  1 (RS: 0.0273972602739726)
Rule(18):  IF Age = 4 AND Menopause = 2 AND Tumor-size = 2 AND Inv-nodes = 0 AND Node-caps = 0 AND Deg-malig = 2 AND Breast = 1 AND Breast-quad = 1 AND Irradiated = 0 THEN Class =  0 (RS: 0.017045454545454544)
Rule(19):  IF Age = 5 AND Menopause = 2 AND Tumor-size = 1 AND Inv-nodes = 0 AND Node-caps = 0 AND Deg-malig = 2 AND Breast = 0 AND Breast-quad = 0 AND Irradiated = 0 THEN Class =  0 (RS: 0.017045454545454544)
Rule(20):  IF Age = 3 AND Menopause = 2 AND Tumor-size = 2 AND Inv-nodes = 0 AND Node-caps = 0 AND Deg-malig = 2 AND Breast = 1 AND Breast-quad = 1 AND Irradiated = 1 THEN Class =  1 (RS: 0.0136986301369863)
Rule(21):  IF Age = 5 AND Menopause = 2 AND Tumor-size = 4 AND Inv-nodes = 0 AND Node-caps = 0 AND Deg-malig = 3 AND Breast = 0 AND Breast-quad = 0 AND Irradiated = 0 THEN Class =  1 (RS: 0.0136986301369863)
Rule(22):  IF Age = 5 AND Menopause = 2 AND Tumor-size = 3 AND Inv-nodes = 0 AND Node-caps = 0 AND Deg-malig = 2 AND Breast = 0 AND Breast-quad = 1 AND Irradiated = 0 THEN Class =  1 (RS: 0.0136986301369863)
Rule(23):  IF Age = 5 AND Menopause = 2 AND Tumor-size = 2 AND Inv-nodes = 0 AND Node-caps = 1 AND Deg-malig = 2 AND Breast = 1 AND Breast-quad = 4 AND Irradiated = 1 THEN Class =  1 (RS: 0.0136986301369863)
Rule(24):  IF Age = 3 AND Menopause = 2 AND Tumor-size = 1 AND Inv-nodes = 0 AND Node-caps = 1 AND Deg-malig = 2 AND Breast = 1 AND Breast-quad = 1 AND Irradiated = 1 THEN Class =  1 (RS: 0.0136986301369863)
Rule(25):  IF Age = 3 AND Menopause = 2 AND Tumor-size = 1 AND Inv-nodes = 2 AND Node-caps = 1 AND Deg-malig = 3 AND Breast = 1 AND Breast-quad = 1 AND Irradiated = 0 THEN Class =  1 (RS: 0.0136986301369863)
Rule(26):  IF Age = 5 AND Menopause = 2 AND Tumor-size = 1 AND Inv-nodes = 0 AND Node-caps = 0 AND Deg-malig = 0 AND Breast = 0 AND Breast-quad = 0 AND Irradiated = 0 THEN Class =  1 (RS: 0.0136986301369863)
Rule(27):  IF Age = 4 AND Menopause = 2 AND Tumor-size = 2 AND Inv-nodes = 0 AND Node-caps = 0 AND Deg-malig = 3 AND Breast = 0 AND Breast-quad = 0 AND Irradiated = 0 THEN Class =  1 (RS: 0.0136986301369863)
Rule(28):  IF Age = 4 AND Menopause = 2 AND Tumor-size = 1 AND Inv-nodes = 0 AND Node-caps = 0 AND Deg-malig = 2 AND Breast = 1 AND Breast-quad = 1 AND Irradiated = 0 THEN Class =  1 (RS: 0.0136986301369863)
