Number of Rules: 65
Rule(1):  IF RestBloodPressure = 1 AND FastingBloodSugar = 0 AND Thal = 7 THEN Class =  2 (RS: 0.26851851851851855)
Rule(2):  IF Sex = 1 AND ChestPainType = 4 AND ResElectrocardiographic = 2 AND Thal = 7 THEN Class =  2 (RS: 0.24074074074074073)
Rule(3):  IF ChestPainType = 4 AND ExerciseInduced = 1 AND Slope = 2 AND Thal = 7 THEN Class =  2 (RS: 0.23148148148148148)
Rule(4):  IF Age = 3 AND MajorVessels = 3 THEN Class =  2 (RS: 0.21296296296296297)
Rule(5):  IF SerumCholestoral = 0 AND ExerciseInduced = 0 AND MajorVessels = 0 AND Thal = 0 THEN Class =  1 (RS: 0.1925925925925926)
Rule(6):  IF Sex = 1 AND MaxHeartRate = 2 AND ExerciseInduced = 1 AND Thal = 7 THEN Class =  2 (RS: 0.16666666666666666)
Rule(7):  IF Age = 2 AND ResElectrocardiographic = 0 AND ExerciseInduced = 0 THEN Class =  1 (RS: 0.15555555555555556)
Rule(8):  IF SerumCholestoral = 0 AND ResElectrocardiographic = 0 AND ExerciseInduced = 0 AND Thal = 0 THEN Class =  1 (RS: 0.14814814814814814)
Rule(9):  IF ChestPainType = 3 AND RestBloodPressure = 1 AND MajorVessels = 0 AND Thal = 0 THEN Class =  1 (RS: 0.14814814814814814)
Rule(10):  IF Sex = 1 AND RestBloodPressure = 2 AND Slope = 2 THEN Class =  2 (RS: 0.1388888888888889)
Rule(11):  IF SerumCholestoral = 1 AND MajorVessels = 3 AND Thal = 7 THEN Class =  2 (RS: 0.1388888888888889)
Rule(12):  IF SerumCholestoral = 1 AND ResElectrocardiographic = 0 AND ExerciseInduced = 1 THEN Class =  2 (RS: 0.1388888888888889)
Rule(13):  IF SerumCholestoral = 0 AND ResElectrocardiographic = 0 AND ExerciseInduced = 0 AND Oldpeak = 0 AND MajorVessels = 0 THEN Class =  1 (RS: 0.13333333333333333)
