Number of Rules: 49
Rule(1):  IF ChestPainType = 4 AND Thal = 7 THEN Class =  2 (RS: 0.5277777777777778)
Rule(2):  IF Slope = 2 AND Thal = 7 THEN Class =  2 (RS: 0.4074074074074074)
Rule(3):  IF Sex = 0 AND MajorVessels = 0 AND Thal = 0 THEN Class =  1 (RS: 0.35555555555555557)
Rule(4):  IF FastingBloodSugar = 0 AND ExerciseInduced = 1 AND Thal = 7 THEN Class =  2 (RS: 0.32407407407407407)
Rule(5):  IF FastingBloodSugar = 0 AND ResElectrocardiographic = 0 AND ExerciseInduced = 0 AND Oldpeak = 0 AND Thal = 0 THEN Class =  1 (RS: 0.28888888888888886)
Rule(6):  IF Age = 3 AND SerumCholestoral = 1 AND Slope = 2 THEN Class =  2 (RS: 0.26851851851851855)
Rule(7):  IF Sex = 1 AND ChestPainType = 4 AND ExerciseInduced = 1 AND Slope = 2 THEN Class =  2 (RS: 0.26851851851851855)
Rule(8):  IF Sex = 1 AND ChestPainType = 4 AND MajorVessels = 1 THEN Class =  2 (RS: 0.21296296296296297)
Rule(9):  IF ChestPainType = 3 AND ExerciseInduced = 0 AND Slope = 0 AND MajorVessels = 0 THEN Class =  1 (RS: 0.17037037037037037)
Rule(10):  IF Sex = 0 AND ResElectrocardiographic = 0 AND MaxHeartRate = 3 AND Thal = 0 THEN Class =  1 (RS: 0.16296296296296298)
Rule(11):  IF Age = 1 AND SerumCholestoral = 1 AND FastingBloodSugar = 0 AND Oldpeak = 0 AND Thal = 0 THEN Class =  1 (RS: 0.15555555555555556)
Rule(12):  IF Sex = 1 AND FastingBloodSugar = 0 AND MajorVessels = 3 AND Thal = 7 THEN Class =  2 (RS: 0.1388888888888889)
Rule(13):  IF ChestPainType = 1 AND RestBloodPressure = 1 AND MajorVessels = 0 AND Thal = 0 THEN Class =  1 (RS: 0.13333333333333333)
Rule(14):  IF Sex = 0 AND ChestPainType = 3 AND ExerciseInduced = 0 AND Slope = 0 AND Thal = 0 THEN Class =  1 (RS: 0.1259259259259259)
Rule(15):  IF Age = 2 AND RestBloodPressure = 1 AND Oldpeak = 0 AND MajorVessels = 0 AND Thal = 0 THEN Class =  1 (RS: 0.1111111111111111)
Rule(16):  IF Sex = 1 AND RestBloodPressure = 1 AND SerumCholestoral = 1 AND FastingBloodSugar = 0 AND ResElectrocardiographic = 0 THEN Class =  2 (RS: 0.09259259259259259)
Rule(17):  IF FastingBloodSugar = 1 AND ExerciseInduced = 0 AND Oldpeak = 0 AND Thal = 0 THEN Class =  1 (RS: 0.08888888888888889)
Rule(18):  IF Oldpeak = 1 AND Slope = 2 AND MajorVessels = 3 THEN Class =  2 (RS: 0.08333333333333333)
Rule(19):  IF Sex = 1 AND SerumCholestoral = 1 AND Slope = 0 AND MajorVessels = 1 THEN Class =  2 (RS: 0.05555555555555555)
Rule(20):  IF ChestPainType = 1 AND ExerciseInduced = 0 AND Slope = 2 THEN Class =  1 (RS: 0.05185185185185185)
Rule(21):  IF ChestPainType = 4 AND MaxHeartRate = 2 AND ExerciseInduced = 0 AND Oldpeak = 0 THEN Class =  1 (RS: 0.044444444444444446)
Rule(22):  IF Age = 2 AND Sex = 1 AND ChestPainType = 3 AND SerumCholestoral = 0 THEN Class =  1 (RS: 0.037037037037037035)
Rule(23):  IF Age = 2 AND SerumCholestoral = 0 AND FastingBloodSugar = 0 AND MajorVessels = 0 AND Thal = 3 THEN Class =  1 (RS: 0.022222222222222223)
Rule(24):  IF Sex = 1 AND ChestPainType = 3 AND SerumCholestoral = 1 AND FastingBloodSugar = 1 AND MajorVessels = 1 AND Thal = 3 THEN Class =  2 (RS: 0.018518518518518517)
Rule(25):  IF Age = 1 AND Sex = 1 AND ChestPainType = 3 AND RestBloodPressure = 2 AND SerumCholestoral = 1 AND FastingBloodSugar = 0 AND ResElectrocardiographic = 0 AND MaxHeartRate = 2 AND ExerciseInduced = 0 AND Oldpeak = 2 AND Slope = 2 AND MajorVessels = 0 AND Thal = 0 THEN Class =  2 (RS: 0.009259259259259259)
Rule(26):  IF Age = 3 AND Sex = 0 AND ChestPainType = 4 AND RestBloodPressure = 2 AND SerumCholestoral = 1 AND FastingBloodSugar = 0 AND ResElectrocardiographic = 2 AND MaxHeartRate = 3 AND ExerciseInduced = 0 AND Oldpeak = 2 AND Slope = 3 AND MajorVessels = 3 AND Thal = 0 THEN Class =  2 (RS: 0.009259259259259259)
