Number of Rules: 159
Rule(1):  IF Adiposity = 1 AND Obesity = 1 THEN Class =  0 (RS: 0.18382352941176472)
Rule(2):  IF Ldl = 0 AND Typea = 3 AND Alcohol = 0 THEN Class =  0 (RS: 0.17647058823529413)
Rule(3):  IF Famhist = 1 AND Age = 1 THEN Class =  0 (RS: 0.13602941176470587)
Rule(4):  IF Tobacco = 1 AND Age = 4 THEN Class =  1 (RS: 0.13194444444444445)
Rule(5):  IF Tobacco = 0 AND Famhist = 0 AND Alcohol = 0 AND Age = 4 THEN Class =  1 (RS: 0.1111111111111111)
Rule(6):  IF Ldl = 0 AND Adiposity = 1 AND Famhist = 1 THEN Class =  0 (RS: 0.10661764705882353)
Rule(7):  IF Adiposity = 1 AND Alcohol = 0 AND Age = 0 THEN Class =  0 (RS: 0.08823529411764706)
Rule(8):  IF Sbp = 2 AND Ldl = 1 AND Famhist = 0 THEN Class =  1 (RS: 0.0763888888888889)
Rule(9):  IF Ldl = 0 AND Adiposity = 0 AND Famhist = 1 AND Age = 0 THEN Class =  0 (RS: 0.0625)
Rule(10):  IF Ldl = 2 AND Famhist = 1 THEN Class =  0 (RS: 0.05514705882352941)
Rule(11):  IF Sbp = 1 AND Typea = 3 AND Age = 3 THEN Class =  0 (RS: 0.051470588235294115)
Rule(12):  IF Sbp = 0 AND Famhist = 1 AND Typea = 2 AND Age = 0 THEN Class =  0 (RS: 0.04779411764705882)
Rule(13):  IF Tobacco = 0 AND Ldl = 0 AND Adiposity = 2 AND Age = 1 THEN Class =  0 (RS: 0.04411764705882353)
Rule(14):  IF Sbp = 1 AND Ldl = 0 AND Famhist = 1 AND Obesity = 0 THEN Class =  0 (RS: 0.03676470588235294)
Rule(15):  IF Ldl = 3 AND Adiposity = 3 THEN Class =  1 (RS: 0.034722222222222224)
Rule(16):  IF Famhist = 0 AND Typea = 4 AND Age = 3 THEN Class =  1 (RS: 0.034722222222222224)
Rule(17):  IF Tobacco = 0 AND Ldl = 0 AND Typea = 2 AND Age = 2 THEN Class =  0 (RS: 0.029411764705882353)
Rule(18):  IF Sbp = 1 AND Tobacco = 1 AND Adiposity = 2 AND Typea = 3 THEN Class =  1 (RS: 0.020833333333333332)
Rule(19):  IF Sbp = 1 AND Tobacco = 1 AND Obesity = 0 AND Alcohol = 0 THEN Class =  1 (RS: 0.020833333333333332)
Rule(20):  IF Ldl = 1 AND Obesity = 2 AND Alcohol = 1 AND Age = 4 THEN Class =  0 (RS: 0.011029411764705883)
Rule(21):  IF Sbp = 1 AND Tobacco = 0 AND Ldl = 1 AND Adiposity = 2 AND Famhist = 1 AND Typea = 4 AND Obesity = 1 AND Alcohol = 0 AND Age = 4 THEN Class =  0 (RS: 0.007352941176470588)
Rule(22):  IF Sbp = 3 AND Tobacco = 0 AND Ldl = 1 AND Adiposity = 2 AND Famhist = 1 AND Typea = 2 AND Obesity = 1 AND Alcohol = 0 AND Age = 4 THEN Class =  0 (RS: 0.007352941176470588)
