Algorithm,Train time [s],Prediction time [s]
C45-C,0.3846371742395254,-1.0
EACH-C,0.4310534147115854,-1.0
1R-C,0.48340571110065167,-1.0
C45RulesSA-C,0.5466354865294236,-1.0
C45Rules-C,0.569332847228417,-1.0
Ripper-C,0.6192177479083721,-1.0
DT_Oblique-C,0.6636943028523372,-1.0
DT_GA-C,0.9781609260118924,-1.0
OCEC-C,1.1976270602299617,-1.0
PGIRLA-C,2.412430313917307,-1.0
NSLV-C,3.0842258636768047,-1.0
SLAVEv0-C,7.329023529933049,-1.0
SLAVE2-C,9.002525087503287,-1.0
Hider-C,13.37405489408053,-1.0
GPR,14.37861414872683,-1.0
OIGA-C,15.69417476103856,-1.0
