,1R-C,Algorithm,p-value
1,1R-C,C45-C,5.140629477832656e-07
2,1R-C,C45Rules-C,0.0002994704722857173
3,1R-C,C45RulesSA-C,0.00017129573464990414
4,1R-C,DT_GA-C,6.275893175010335e-07
5,1R-C,DT_Oblique-C,0.18293739741415005
6,1R-C,EACH-C,0.0007309152486832297
7,1R-C,GPR,3.955327829204593e-09
8,1R-C,Hider-C,0.0005964948690463835
9,1R-C,NSLV-C,1.731327000225514e-10
10,1R-C,OCEC-C,0.03208375361530098
11,1R-C,OIGA-C,4.3931269912216283e-10
12,1R-C,PGIRLA-C,0.15741695503402775
13,1R-C,Ripper-C,0.5851982433132286
14,1R-C,SLAVE2-C,7.96915783574428e-08
15,1R-C,SLAVEv0-C,6.0383497393789406e-05
