,DT_Oblique-C,Algorithm,p-value
1,DT_Oblique-C,1R-C,0.18293739741415005
2,DT_Oblique-C,C45-C,1.4966994808653393e-06
3,DT_Oblique-C,C45Rules-C,0.0010913858247314397
4,DT_Oblique-C,C45RulesSA-C,0.0012150519254730853
5,DT_Oblique-C,DT_GA-C,2.811132353102375e-06
6,DT_Oblique-C,EACH-C,4.03046181026964e-07
7,DT_Oblique-C,GPR,2.3190901619200343e-09
8,DT_Oblique-C,Hider-C,0.005467294144666943
9,DT_Oblique-C,NSLV-C,7.255953026457285e-10
10,DT_Oblique-C,OCEC-C,0.20838792822280428
11,DT_Oblique-C,OIGA-C,4.722084122597173e-08
12,DT_Oblique-C,PGIRLA-C,0.9945746528765271
13,DT_Oblique-C,Ripper-C,0.2872297584072858
14,DT_Oblique-C,SLAVE2-C,1.0048040809241863e-06
15,DT_Oblique-C,SLAVEv0-C,0.0002231411765285857
