,GPR,Algorithm,p-value
1,GPR,1R-C,3.955327829204593e-09
2,GPR,C45-C,0.26224135342876687
3,GPR,C45Rules-C,0.0027056800931405524
4,GPR,C45RulesSA-C,0.012343361197500301
5,GPR,DT_GA-C,0.33217368037619444
6,GPR,DT_Oblique-C,2.3190901619200343e-09
7,GPR,EACH-C,4.695137307585994e-14
8,GPR,Hider-C,0.002165732518920009
9,GPR,NSLV-C,0.7801787399531452
10,GPR,OCEC-C,1.3491410210785015e-05
11,GPR,OIGA-C,0.8192310236320743
12,GPR,PGIRLA-C,0.00010031581058577877
13,GPR,Ripper-C,6.959570794906632e-08
14,GPR,SLAVE2-C,0.4621151559106589
15,GPR,SLAVEv0-C,0.002320857564511131
