,Hider-C,Algorithm,p-value
1,Hider-C,1R-C,0.0005964948690463835
2,Hider-C,C45-C,0.10235153757565127
3,Hider-C,C45Rules-C,0.9480627097895112
4,Hider-C,C45RulesSA-C,0.8441275646866693
5,Hider-C,DT_GA-C,0.025256979179518416
6,Hider-C,DT_Oblique-C,0.005467294144666943
7,Hider-C,EACH-C,8.52444328092736e-09
8,Hider-C,GPR,0.002165732518920009
9,Hider-C,NSLV-C,0.006519532588715335
10,Hider-C,OCEC-C,0.11556343223870774
11,Hider-C,OIGA-C,0.0022811325549147183
12,Hider-C,PGIRLA-C,0.006837893288852983
13,Hider-C,Ripper-C,0.0034263392649027044
14,Hider-C,SLAVE2-C,0.14497486287449013
15,Hider-C,SLAVEv0-C,0.5098740494792667
