,SLAVE2-C,Algorithm,p-value
1,SLAVE2-C,1R-C,7.96915783574428e-08
2,SLAVE2-C,C45-C,0.9816575233502655
3,SLAVE2-C,C45Rules-C,0.05076876567677114
4,SLAVE2-C,C45RulesSA-C,0.06595226773739216
5,SLAVE2-C,DT_GA-C,0.9181450485670695
6,SLAVE2-C,DT_Oblique-C,1.0048040809241863e-06
7,SLAVE2-C,EACH-C,1.1523957074324068e-12
8,SLAVE2-C,GPR,0.4621151559106589
9,SLAVE2-C,Hider-C,0.14497486287449013
10,SLAVE2-C,NSLV-C,0.15461227915173564
11,SLAVE2-C,OCEC-C,0.0005505002034511312
12,SLAVE2-C,OIGA-C,0.2781897068726724
13,SLAVE2-C,PGIRLA-C,0.0057258913443960485
14,SLAVE2-C,Ripper-C,1.8184302220216193e-07
15,SLAVE2-C,SLAVEv0-C,0.017476690226957876
