,1R-C,Algorithm,p-value
1,1R-C,C45-C,2.6913704740627716e-12
2,1R-C,C45Rules-C,9.55902947408865e-14
3,1R-C,C45RulesSA-C,1.9123004976928248e-14
4,1R-C,DT_GA-C,1.5973195468867412e-12
5,1R-C,DT_Oblique-C,2.2145856783417044e-09
6,1R-C,EACH-C,0.8551010830598561
7,1R-C,GPR,2.89402121584205e-11
8,1R-C,Hider-C,3.0028497031533463e-06
9,1R-C,NSLV-C,2.4450528247242516e-12
10,1R-C,OCEC-C,1.1190020801785812e-11
11,1R-C,OIGA-C,2.498847380407428e-10
12,1R-C,PGIRLA-C,0.0012012541193200132
13,1R-C,Ripper-C,8.907526734219983e-14
14,1R-C,SLAVE2-C,2.8725896949392357e-10
15,1R-C,SLAVEv0-C,2.560862733849569e-07
