,C45-C,Algorithm,p-value
1,C45-C,1R-C,2.6913704740627716e-12
2,C45-C,C45Rules-C,0.31631127559761785
3,C45-C,C45RulesSA-C,0.1619265745761298
4,C45-C,DT_GA-C,0.9878118547173367
5,C45-C,DT_Oblique-C,0.010910689089800269
6,C45-C,EACH-C,2.6310140177197457e-09
7,C45-C,GPR,0.6051653273543255
8,C45-C,Hider-C,0.010606884448141226
9,C45-C,NSLV-C,0.5946575121377988
10,C45-C,OCEC-C,0.8746535134615208
11,C45-C,OIGA-C,0.4183294384794578
12,C45-C,PGIRLA-C,0.00030701496731408206
13,C45-C,Ripper-C,0.4736861857004898
14,C45-C,SLAVE2-C,0.13450431438434438
15,C45-C,SLAVEv0-C,0.0005969640888229291
