,C45Rules-C,Algorithm,p-value
1,C45Rules-C,1R-C,9.55902947408865e-14
2,C45Rules-C,C45-C,0.31631127559761785
3,C45Rules-C,C45RulesSA-C,0.7752563041022337
4,C45Rules-C,DT_GA-C,0.29833124064519323
5,C45Rules-C,DT_Oblique-C,0.0015929412760480716
6,C45Rules-C,EACH-C,1.503297269119324e-10
7,C45Rules-C,GPR,0.08991325064217323
8,C45Rules-C,Hider-C,0.00013568140506300038
9,C45Rules-C,NSLV-C,0.06776396996762254
10,C45Rules-C,OCEC-C,0.26938086765780556
11,C45Rules-C,OIGA-C,0.09578667535124925
12,C45Rules-C,PGIRLA-C,3.644985256230397e-05
13,C45Rules-C,Ripper-C,0.8207861765907433
14,C45Rules-C,SLAVE2-C,0.006990394721418261
15,C45Rules-C,SLAVEv0-C,0.00025929508174080216
