,C45RulesSA-C,Algorithm,p-value
1,C45RulesSA-C,1R-C,1.9123004976928248e-14
2,C45RulesSA-C,C45-C,0.1619265745761298
3,C45RulesSA-C,C45Rules-C,0.7752563041022337
4,C45RulesSA-C,DT_GA-C,0.1794971257506227
5,C45RulesSA-C,DT_Oblique-C,0.0006892888950044458
6,C45RulesSA-C,EACH-C,3.182603281149351e-11
7,C45RulesSA-C,GPR,0.05830340746271339
8,C45RulesSA-C,Hider-C,0.0001544425340039428
9,C45RulesSA-C,NSLV-C,0.07156233301961618
10,C45RulesSA-C,OCEC-C,0.27079011029826483
11,C45RulesSA-C,OIGA-C,0.05328382876484554
12,C45RulesSA-C,PGIRLA-C,1.5432494800744747e-05
13,C45RulesSA-C,Ripper-C,0.6980215896452904
14,C45RulesSA-C,SLAVE2-C,0.004403838166700114
15,C45RulesSA-C,SLAVEv0-C,9.917952619398813e-05
