,DT_GA-C,Algorithm,p-value
1,DT_GA-C,1R-C,1.5973195468867412e-12
2,DT_GA-C,C45-C,0.9878118547173367
3,DT_GA-C,C45Rules-C,0.29833124064519323
4,DT_GA-C,C45RulesSA-C,0.1794971257506227
5,DT_GA-C,DT_Oblique-C,0.03187713482061753
6,DT_GA-C,EACH-C,3.576781550596903e-09
7,DT_GA-C,GPR,0.6478791582329123
8,DT_GA-C,Hider-C,0.0018847319928999577
9,DT_GA-C,NSLV-C,0.9246793137872009
10,DT_GA-C,OCEC-C,0.9071131181985879
11,DT_GA-C,OIGA-C,0.5902150906704723
12,DT_GA-C,PGIRLA-C,0.0002780744992164809
13,DT_GA-C,Ripper-C,0.24814361218798953
14,DT_GA-C,SLAVE2-C,0.1958235279370013
15,DT_GA-C,SLAVEv0-C,0.001194925350055103
