,DT_Oblique-C,Algorithm,p-value
1,DT_Oblique-C,1R-C,2.2145856783417044e-09
2,DT_Oblique-C,C45-C,0.010910689089800269
3,DT_Oblique-C,C45Rules-C,0.0015929412760480716
4,DT_Oblique-C,C45RulesSA-C,0.0006892888950044458
5,DT_Oblique-C,DT_GA-C,0.03187713482061753
6,DT_Oblique-C,EACH-C,2.6614832442099056e-08
7,DT_Oblique-C,GPR,0.0591883457009569
8,DT_Oblique-C,Hider-C,0.317441879202392
9,DT_Oblique-C,NSLV-C,0.042526248058881326
10,DT_Oblique-C,OCEC-C,0.03284506537140157
11,DT_Oblique-C,OIGA-C,0.26982784132304893
12,DT_Oblique-C,PGIRLA-C,0.05944114588239263
13,DT_Oblique-C,Ripper-C,0.002529268520424504
14,DT_Oblique-C,SLAVE2-C,0.22245318749032206
15,DT_Oblique-C,SLAVEv0-C,0.7898469614085397
