,EACH-C,Algorithm,p-value
1,EACH-C,1R-C,0.8551010830598561
2,EACH-C,C45-C,2.6310140177197457e-09
3,EACH-C,C45Rules-C,1.503297269119324e-10
4,EACH-C,C45RulesSA-C,3.182603281149351e-11
5,EACH-C,DT_GA-C,3.576781550596903e-09
6,EACH-C,DT_Oblique-C,2.6614832442099056e-08
7,EACH-C,GPR,3.1544929063196516e-09
8,EACH-C,Hider-C,2.723893195877114e-06
9,EACH-C,NSLV-C,4.022666131997602e-10
10,EACH-C,OCEC-C,7.504539134404351e-10
11,EACH-C,OIGA-C,9.344519683293639e-10
12,EACH-C,PGIRLA-C,0.021549303197005383
13,EACH-C,Ripper-C,2.4757574352852886e-13
14,EACH-C,SLAVE2-C,7.842024073784766e-09
15,EACH-C,SLAVEv0-C,2.982199954394815e-06
