,GPR,Algorithm,p-value
1,GPR,1R-C,2.89402121584205e-11
2,GPR,C45-C,0.6051653273543255
3,GPR,C45Rules-C,0.08991325064217323
4,GPR,C45RulesSA-C,0.05830340746271339
5,GPR,DT_GA-C,0.6478791582329123
6,GPR,DT_Oblique-C,0.0591883457009569
7,GPR,EACH-C,3.1544929063196516e-09
8,GPR,Hider-C,0.0015507806449291926
9,GPR,NSLV-C,0.8152146944364591
10,GPR,OCEC-C,0.8430342406385336
11,GPR,OIGA-C,0.3130213315786943
12,GPR,PGIRLA-C,0.00043526115709214067
13,GPR,Ripper-C,0.42730210230754295
14,GPR,SLAVE2-C,0.2345602558595954
15,GPR,SLAVEv0-C,0.001367141745442964
