,Hider-C,Algorithm,p-value
1,Hider-C,1R-C,3.0028497031533463e-06
2,Hider-C,C45-C,0.010606884448141226
3,Hider-C,C45Rules-C,0.00013568140506300038
4,Hider-C,C45RulesSA-C,0.0001544425340039428
5,Hider-C,DT_GA-C,0.0018847319928999577
6,Hider-C,DT_Oblique-C,0.317441879202392
7,Hider-C,EACH-C,2.723893195877114e-06
8,Hider-C,GPR,0.0015507806449291926
9,Hider-C,NSLV-C,0.01642507762238481
10,Hider-C,OCEC-C,0.017163605564018154
11,Hider-C,OIGA-C,0.10885289562370191
12,Hider-C,PGIRLA-C,0.06757636290191674
13,Hider-C,Ripper-C,0.0005674164867907168
14,Hider-C,SLAVE2-C,0.14087229757892764
15,Hider-C,SLAVEv0-C,0.9538640191123147
