,NSLV-C,Algorithm,p-value
1,NSLV-C,1R-C,2.4450528247242516e-12
2,NSLV-C,C45-C,0.5946575121377988
3,NSLV-C,C45Rules-C,0.06776396996762254
4,NSLV-C,C45RulesSA-C,0.07156233301961618
5,NSLV-C,DT_GA-C,0.9246793137872009
6,NSLV-C,DT_Oblique-C,0.042526248058881326
7,NSLV-C,EACH-C,4.022666131997602e-10
8,NSLV-C,GPR,0.8152146944364591
9,NSLV-C,Hider-C,0.01642507762238481
10,NSLV-C,OCEC-C,0.9277285870413754
11,NSLV-C,OIGA-C,0.42914184835223435
12,NSLV-C,PGIRLA-C,0.00075541449425055
13,NSLV-C,Ripper-C,0.36641875070163965
14,NSLV-C,SLAVE2-C,0.21180610644902897
15,NSLV-C,SLAVEv0-C,0.0005528696958630929
