,OCEC-C,Algorithm,p-value
1,OCEC-C,1R-C,1.1190020801785812e-11
2,OCEC-C,C45-C,0.8746535134615208
3,OCEC-C,C45Rules-C,0.26938086765780556
4,OCEC-C,C45RulesSA-C,0.27079011029826483
5,OCEC-C,DT_GA-C,0.9071131181985879
6,OCEC-C,DT_Oblique-C,0.03284506537140157
7,OCEC-C,EACH-C,7.504539134404351e-10
8,OCEC-C,GPR,0.8430342406385336
9,OCEC-C,Hider-C,0.017163605564018154
10,OCEC-C,NSLV-C,0.9277285870413754
11,OCEC-C,OIGA-C,0.39837351977447033
12,OCEC-C,PGIRLA-C,4.5842114774747783e-05
13,OCEC-C,Ripper-C,0.8889144109606397
14,OCEC-C,SLAVE2-C,0.3305418298916035
15,OCEC-C,SLAVEv0-C,0.005362073119550273
