,OIGA-C,Algorithm,p-value
1,OIGA-C,1R-C,2.498847380407428e-10
2,OIGA-C,C45-C,0.4183294384794578
3,OIGA-C,C45Rules-C,0.09578667535124925
4,OIGA-C,C45RulesSA-C,0.05328382876484554
5,OIGA-C,DT_GA-C,0.5902150906704723
6,OIGA-C,DT_Oblique-C,0.26982784132304893
7,OIGA-C,EACH-C,9.344519683293639e-10
8,OIGA-C,GPR,0.3130213315786943
9,OIGA-C,Hider-C,0.10885289562370191
10,OIGA-C,NSLV-C,0.42914184835223435
11,OIGA-C,OCEC-C,0.39837351977447033
12,OIGA-C,PGIRLA-C,0.015147274889497202
13,OIGA-C,Ripper-C,0.1386196587730729
14,OIGA-C,SLAVE2-C,0.8056942323562655
15,OIGA-C,SLAVEv0-C,0.163797936128814
