,PGIRLA-C,Algorithm,p-value
1,PGIRLA-C,1R-C,0.0012012541193200132
2,PGIRLA-C,C45-C,0.00030701496731408206
3,PGIRLA-C,C45Rules-C,3.644985256230397e-05
4,PGIRLA-C,C45RulesSA-C,1.5432494800744747e-05
5,PGIRLA-C,DT_GA-C,0.0002780744992164809
6,PGIRLA-C,DT_Oblique-C,0.05944114588239263
7,PGIRLA-C,EACH-C,0.021549303197005383
8,PGIRLA-C,GPR,0.00043526115709214067
9,PGIRLA-C,Hider-C,0.06757636290191674
10,PGIRLA-C,NSLV-C,0.00075541449425055
11,PGIRLA-C,OCEC-C,4.5842114774747783e-05
12,PGIRLA-C,OIGA-C,0.015147274889497202
13,PGIRLA-C,Ripper-C,8.028543132942798e-05
14,PGIRLA-C,SLAVE2-C,0.009024093861922457
15,PGIRLA-C,SLAVEv0-C,0.315041714351016
