,Ripper-C,Algorithm,p-value
1,Ripper-C,1R-C,8.907526734219983e-14
2,Ripper-C,C45-C,0.4736861857004898
3,Ripper-C,C45Rules-C,0.8207861765907433
4,Ripper-C,C45RulesSA-C,0.6980215896452904
5,Ripper-C,DT_GA-C,0.24814361218798953
6,Ripper-C,DT_Oblique-C,0.002529268520424504
7,Ripper-C,EACH-C,2.4757574352852886e-13
8,Ripper-C,GPR,0.42730210230754295
9,Ripper-C,Hider-C,0.0005674164867907168
10,Ripper-C,NSLV-C,0.36641875070163965
11,Ripper-C,OCEC-C,0.8889144109606397
12,Ripper-C,OIGA-C,0.1386196587730729
13,Ripper-C,PGIRLA-C,8.028543132942798e-05
14,Ripper-C,SLAVE2-C,0.07155117864111145
15,Ripper-C,SLAVEv0-C,0.0007177742320934452
