,SLAVE2-C,Algorithm,p-value
1,SLAVE2-C,1R-C,2.8725896949392357e-10
2,SLAVE2-C,C45-C,0.13450431438434438
3,SLAVE2-C,C45Rules-C,0.006990394721418261
4,SLAVE2-C,C45RulesSA-C,0.004403838166700114
5,SLAVE2-C,DT_GA-C,0.1958235279370013
6,SLAVE2-C,DT_Oblique-C,0.22245318749032206
7,SLAVE2-C,EACH-C,7.842024073784766e-09
8,SLAVE2-C,GPR,0.2345602558595954
9,SLAVE2-C,Hider-C,0.14087229757892764
10,SLAVE2-C,NSLV-C,0.21180610644902897
11,SLAVE2-C,OCEC-C,0.3305418298916035
12,SLAVE2-C,OIGA-C,0.8056942323562655
13,SLAVE2-C,PGIRLA-C,0.009024093861922457
14,SLAVE2-C,Ripper-C,0.07155117864111145
15,SLAVE2-C,SLAVEv0-C,0.02226908653502609
