,SLAVEv0-C,Algorithm,p-value
1,SLAVEv0-C,1R-C,2.560862733849569e-07
2,SLAVEv0-C,C45-C,0.0005969640888229291
3,SLAVEv0-C,C45Rules-C,0.00025929508174080216
4,SLAVEv0-C,C45RulesSA-C,9.917952619398813e-05
5,SLAVEv0-C,DT_GA-C,0.001194925350055103
6,SLAVEv0-C,DT_Oblique-C,0.7898469614085397
7,SLAVEv0-C,EACH-C,2.982199954394815e-06
8,SLAVEv0-C,GPR,0.001367141745442964
9,SLAVEv0-C,Hider-C,0.9538640191123147
10,SLAVEv0-C,NSLV-C,0.0005528696958630929
11,SLAVEv0-C,OCEC-C,0.005362073119550273
12,SLAVEv0-C,OIGA-C,0.163797936128814
13,SLAVEv0-C,PGIRLA-C,0.315041714351016
14,SLAVEv0-C,Ripper-C,0.0007177742320934452
15,SLAVEv0-C,SLAVE2-C,0.02226908653502609
