,Algorithm,MCC p-value,Specificity p-value,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,Mixed p-value
1,C45-C,3.74880699714567e-12,3.0366419781318257e-05,2.6913704740627716e-12,5.140629477832656e-07,4.3629882268464296e-13,5.140629477832656e-07,2.789764085406682e-10
2,C45Rules-C,4.664133463244703e-13,0.17790932972173668,9.55902947408865e-14,0.0002994704722857173,9.559931642859231e-14,0.0002994704722857173,2.8253603767181285e-09
3,C45RulesSA-C,1.0759890032082671e-13,0.11837063808297375,1.9123004976928248e-14,0.00017129573464990414,1.9713540106954546e-14,0.00017129573464990414,2.063202762056385e-09
4,DT_GA-C,2.415558732822e-12,6.228247831778561e-07,1.5973195468867412e-12,6.275893175010335e-07,6.91426546367004e-13,6.275893175010335e-07,3.93734078862025e-10
5,DT_Oblique-C,3.1039550256756095e-08,0.22546292232945764,2.2145856783417044e-09,0.18293739741415005,2.6181083478683157e-10,0.18293739741415005,0.0001872655878772836
6,EACH-C,0.7342835617606573,0.7016950643417978,0.8551010830598561,0.0007309152486832297,0.406314457912625,0.0007309152486832297,0.024652208334443957
7,GPR,2.1976972721107295e-11,3.619011379175529e-07,2.89402121584205e-11,3.955327829204593e-09,2.036158149358546e-11,3.955327829204593e-09,8.709864519897385e-11
8,Hider-C,2.1261955956916516e-07,3.3253580676377704e-05,3.0028497031533463e-06,0.0005964948690463835,7.247766991414894e-09,0.0005964948690463835,1.9711341748099547e-05
9,NSLV-C,4.455240868033897e-12,2.4898970946838285e-05,2.4450528247242516e-12,1.731327000225514e-10,1.976265392713968e-12,1.731327000225514e-10,3.197611799810448e-12
10,OCEC-C,3.529331453479415e-11,0.22153679571200857,1.1190020801785812e-11,0.03208375361530098,5.14977099693583e-12,0.03208375361530098,1.9528725805023507e-06
11,OIGA-C,2.721810308025234e-11,8.747588077197679e-13,2.498847380407428e-10,4.3931269912216283e-10,3.111505360438663e-12,4.3931269912216283e-10,1.2150258075355729e-11
12,PGIRLA-C,0.0009229655400774047,2.0131981533616878e-06,0.0012012541193200132,0.15741695503402775,0.045747446616475756,0.15741695503402775,0.06803434471727197
13,Ripper-C,7.737720897151245e-13,0.6015426024258681,8.907526734219983e-14,0.5851982433132286,5.417320530369865e-15,0.5851982433132286,0.0002774085629819328
14,SLAVE2-C,1.7480739611270776e-10,0.00012511004328814954,2.8725896949392357e-10,7.96915783574428e-08,2.6172066937327426e-11,7.96915783574428e-08,7.56857724986429e-10
15,SLAVEv0-C,3.271593985049336e-07,0.004556510356750284,2.560862733849569e-07,6.0383497393789406e-05,6.338723819021773e-09,6.0383497393789406e-05,2.6745194629579825e-06
