,Algorithm,MCC p-value,Specificity p-value,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,Mixed p-value
1,1R-C,3.74880699714567e-12,3.0366419781318257e-05,2.6913704740627716e-12,5.140629477832656e-07,4.3629882268464296e-13,5.140629477832656e-07,2.789764085406682e-10
2,C45Rules-C,0.973470630934328,4.839112313244798e-05,0.31631127559761785,0.021594569785427797,0.8276830610509178,0.021594569785427797,0.3822189903108395
3,C45RulesSA-C,0.7589240971819297,0.00036837259919112196,0.1619265745761298,0.021996969814820376,0.722704871105635,0.021996969814820376,0.4743128752303448
4,DT_GA-C,0.9352776563505196,0.0413950641918209,0.9878118547173367,0.8051897423532525,0.8318055371910569,0.8051897423532525,0.855301252130041
5,DT_Oblique-C,0.0009290939889110573,1.4173597383142327e-05,0.010910689089800269,1.4966994808653393e-06,0.003205821055084432,1.4966994808653393e-06,4.0955202362127486e-05
6,EACH-C,1.0159992222207428e-08,0.004547558071568351,2.6310140177197457e-09,9.600226263851308e-12,1.1388609860406478e-06,9.600226263851308e-12,1.2200904327765208e-11
7,GPR,0.8474612352520605,0.3191035537298168,0.6051653273543255,0.26224135342876687,0.9607535247482654,0.26224135342876687,0.6357094581975604
8,Hider-C,0.0697945405363589,0.3124869399940926,0.010606884448141226,0.10235153757565127,0.12238635607094003,0.10235153757565127,0.10278673624252063
9,NSLV-C,0.580114363865629,0.9182726022415681,0.5946575121377988,0.1637512811668963,0.3781710035333009,0.1637512811668963,0.8615001339244629
10,OCEC-C,0.31885746993652964,0.0003956912755636463,0.8746535134615208,0.00336209369214401,0.24994704478770313,0.00336209369214401,0.06738930083014807
11,OIGA-C,0.7716334425803524,6.910878916464448e-05,0.4183294384794578,0.10407830056774639,0.6056515761091501,0.10407830056774639,0.3644085374978102
12,PGIRLA-C,0.00023456705809428086,0.050005891750048874,0.00030701496731408206,0.0005245486063408138,2.0638720842964012e-05,0.0005245486063408138,7.366569781093017e-05
13,Ripper-C,0.7047342086719602,1.4347762679068932e-07,0.4736861857004898,5.667762493042634e-07,0.6742493153963689,5.667762493042634e-07,0.0016084807863519417
14,SLAVE2-C,0.2500465909127888,0.7864026674826403,0.13450431438434438,0.9816575233502655,0.20352550052345864,0.9816575233502655,0.46945016306875187
15,SLAVEv0-C,0.0015418675143220517,0.3870993504707818,0.0005969640888229291,0.056732420888220655,0.002136628724953387,0.056732420888220655,0.00716974197569408
