,Algorithm,MCC p-value,Specificity p-value,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,Mixed p-value
1,1R-C,4.664133463244703e-13,0.17790932972173668,9.55902947408865e-14,0.0002994704722857173,9.559931642859231e-14,0.0002994704722857173,2.8253603767181285e-09
2,C45-C,0.973470630934328,4.839112313244798e-05,0.31631127559761785,0.021594569785427797,0.8276830610509178,0.021594569785427797,0.3822189903108395
3,C45RulesSA-C,0.8130016860893962,0.19224455652751027,0.7752563041022337,0.7936388330393043,0.9804767133849777,0.7936388330393043,0.573544639299889
4,DT_GA-C,0.8962309692704404,1.4927039167394053e-06,0.29833124064519323,0.023210492260093883,0.700610292823008,0.023210492260093883,0.31259111489661806
5,DT_Oblique-C,0.0016421866023239953,0.27740366293793883,0.0015929412760480716,0.0010913858247314397,0.001023365926510972,0.0010913858247314397,0.0010440913044173288
6,EACH-C,1.3596071457848005e-09,0.01991904229042383,1.503297269119324e-10,2.539979113712632e-09,2.629966386123658e-07,2.539979113712632e-09,5.4623334805100235e-11
7,GPR,0.8689528343265828,5.618415372111834e-05,0.08991325064217323,0.0027056800931405524,0.8627729810184264,0.0027056800931405524,0.21351324617830414
8,Hider-C,0.023727147564936713,0.0001605392538704116,0.00013568140506300038,0.9480627097895112,0.06759299691496913,0.9480627097895112,0.1666582914812864
9,NSLV-C,0.4345598925289701,0.0002555578654191334,0.06776396996762254,0.0009748630579687281,0.15956306731688763,0.0009748630579687281,0.2703098397689716
10,OCEC-C,0.23482894796194087,0.45112571796329504,0.26938086765780556,0.053964873841708096,0.15443995797450163,0.053964873841708096,0.12731115532449952
11,OIGA-C,0.9715000349697719,1.7729594957717797e-09,0.09578667535124925,0.001631459432427169,0.8044244691876427,0.001631459432427169,0.17733614829208855
12,PGIRLA-C,0.0004407503764419528,8.76450543714464e-07,3.644985256230397e-05,0.04220889490968986,1.8191233025316622e-05,0.04220889490968986,0.0010405050366266838
13,Ripper-C,0.7223327731923903,5.1079731373300305e-05,0.8207861765907433,0.0005581021914804245,0.7183637581482242,0.0005581021914804245,0.018424130490436348
14,SLAVE2-C,0.19922994627636514,0.00024049983298519447,0.006990394721418261,0.05076876567677114,0.14440930638325183,0.05076876567677114,0.8538643952729938
15,SLAVEv0-C,0.005075660289886708,0.0034635727247791814,0.00025929508174080216,0.5863331823073212,0.002929524013475619,0.5863331823073212,0.2283267430901631
