,Algorithm,MCC p-value,Specificity p-value,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,Mixed p-value
1,1R-C,1.0759890032082671e-13,0.11837063808297375,1.9123004976928248e-14,0.00017129573464990414,1.9713540106954546e-14,0.00017129573464990414,2.063202762056385e-09
2,C45-C,0.7589240971819297,0.00036837259919112196,0.1619265745761298,0.021996969814820376,0.722704871105635,0.021996969814820376,0.4743128752303448
3,C45Rules-C,0.8130016860893962,0.19224455652751027,0.7752563041022337,0.7936388330393043,0.9804767133849777,0.7936388330393043,0.573544639299889
4,DT_GA-C,0.817863082431044,8.644172894464513e-05,0.1794971257506227,0.022247263052436708,0.8306681533877378,0.022247263052436708,0.376002168717396
5,DT_Oblique-C,0.001033692564275062,0.042204118663401055,0.0006892888950044458,0.0012150519254730853,0.0007433119297177056,0.0012150519254730853,0.000794497930630537
6,EACH-C,6.139248750082381e-10,0.005380788245682572,3.182603281149351e-11,3.3575009162261366e-10,2.0860005218151472e-07,3.3575009162261366e-10,3.845292814833092e-12
7,GPR,0.6243258678551736,0.00016366569817898046,0.05830340746271339,0.012343361197500301,0.5733960042033102,0.012343361197500301,0.44133083091014846
8,Hider-C,0.01715651368447439,0.0004419495355621086,0.0001544425340039428,0.8441275646866693,0.04192862551236022,0.8441275646866693,0.1806694979521719
9,NSLV-C,0.5764519962973796,0.00040416315234340826,0.07156233301961618,0.0023422186241861096,0.3569923741994696,0.0023422186241861096,0.23523915941974627
10,OCEC-C,0.3052272542191137,0.24744117234090546,0.27079011029826483,0.0701125378555594,0.18642782169004446,0.0701125378555594,0.16079416052641637
11,OIGA-C,0.8069362326703395,6.829827491156179e-09,0.05328382876484554,0.011229567052041504,0.9622104721357945,0.011229567052041504,0.4219954740582754
12,PGIRLA-C,0.00026250194837750196,6.114463153255945e-06,1.5432494800744747e-05,0.031210324765153747,1.9270593562152896e-05,0.031210324765153747,0.0008247962679104854
13,Ripper-C,0.678978889696827,1.110473639301321e-06,0.6980215896452904,0.00038408487391547425,0.7849400600457775,0.00038408487391547425,0.019915064437720998
14,SLAVE2-C,0.1923064752046152,0.0014315356798547843,0.004403838166700114,0.06595226773739216,0.18508166679451532,0.06595226773739216,0.8667086347728603
15,SLAVEv0-C,0.0032730276040163196,0.024170705910089307,9.917952619398813e-05,0.6271630580898269,0.0018505332731987077,0.6271630580898269,0.19472198801897422
