,Algorithm,MCC p-value,Specificity p-value,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,Mixed p-value
1,1R-C,2.415558732822e-12,6.228247831778561e-07,1.5973195468867412e-12,6.275893175010335e-07,6.91426546367004e-13,6.275893175010335e-07,3.93734078862025e-10
2,C45-C,0.9352776563505196,0.0413950641918209,0.9878118547173367,0.8051897423532525,0.8318055371910569,0.8051897423532525,0.855301252130041
3,C45Rules-C,0.8962309692704404,1.4927039167394053e-06,0.29833124064519323,0.023210492260093883,0.700610292823008,0.023210492260093883,0.31259111489661806
4,C45RulesSA-C,0.817863082431044,8.644172894464513e-05,0.1794971257506227,0.022247263052436708,0.8306681533877378,0.022247263052436708,0.376002168717396
5,DT_Oblique-C,0.0044172976508084815,8.887234458870008e-06,0.03187713482061753,2.811132353102375e-06,0.005034624659815579,2.811132353102375e-06,0.00012340381130310037
6,EACH-C,2.7627695139794565e-08,0.0029045947590070754,3.576781550596903e-09,2.3380190115383883e-11,5.473477993162244e-06,2.3380190115383883e-11,2.914896951724423e-11
7,GPR,0.9265318196570983,0.8858479859200566,0.6478791582329123,0.33217368037619444,0.8834258394113129,0.33217368037619444,0.6232294241559471
8,Hider-C,0.014425036454026763,0.7514144659414667,0.0018847319928999577,0.025256979179518416,0.03818789437997265,0.025256979179518416,0.014104260891654577
9,NSLV-C,0.9988570910583268,0.3746076768493989,0.9246793137872009,0.06491217568050431,0.6747043648106014,0.06491217568050431,0.30036878943546985
10,OCEC-C,0.4529761942800151,4.4477967535706394e-05,0.9071131181985879,0.0042238776518880505,0.35059414179445114,0.0042238776518880505,0.12338928429545383
11,OIGA-C,0.7013543718280812,0.001411885008119915,0.5902150906704723,0.09893946523132927,0.44958536484494016,0.09893946523132927,0.3064744970281913
12,PGIRLA-C,0.00019345214619768427,0.831270211121728,0.0002780744992164809,0.00023747394367065874,2.8582024889521384e-06,0.00023747394367065874,2.076978753785129e-05
13,Ripper-C,0.9751331837087069,6.55803971905157e-09,0.24814361218798953,2.279312905480692e-06,0.5191761576267211,2.279312905480692e-06,0.005006193224948125
14,SLAVE2-C,0.2922466776999222,0.3684386594575376,0.1958235279370013,0.9181450485670695,0.3300373446229351,0.9181450485670695,0.6663387919439312
15,SLAVEv0-C,0.0018689772695329111,0.04442957746567352,0.001194925350055103,0.1409461909159822,0.0015448988227341502,0.1409461909159822,0.019865034814924614
