,Algorithm,MCC p-value,Specificity p-value,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,Mixed p-value
1,1R-C,3.1039550256756095e-08,0.22546292232945764,2.2145856783417044e-09,0.18293739741415005,2.6181083478683157e-10,0.18293739741415005,0.0001872655878772836
2,C45-C,0.0009290939889110573,1.4173597383142327e-05,0.010910689089800269,1.4966994808653393e-06,0.003205821055084432,1.4966994808653393e-06,4.0955202362127486e-05
3,C45Rules-C,0.0016421866023239953,0.27740366293793883,0.0015929412760480716,0.0010913858247314397,0.001023365926510972,0.0010913858247314397,0.0010440913044173288
4,C45RulesSA-C,0.001033692564275062,0.042204118663401055,0.0006892888950044458,0.0012150519254730853,0.0007433119297177056,0.0012150519254730853,0.000794497930630537
5,DT_GA-C,0.0044172976508084815,8.887234458870008e-06,0.03187713482061753,2.811132353102375e-06,0.005034624659815579,2.811132353102375e-06,0.00012340381130310037
6,EACH-C,1.0240407757955592e-06,0.011661194877512628,2.6614832442099056e-08,4.03046181026964e-07,0.00023113350420655125,4.03046181026964e-07,1.10822335068264e-08
7,GPR,0.0025644568209406073,1.0141174368850782e-06,0.0591883457009569,2.3190901619200343e-09,0.01482682200330368,2.3190901619200343e-09,1.0770044890997405e-05
8,Hider-C,0.453964647178982,7.667705381112139e-06,0.317441879202392,0.005467294144666943,0.2966267244132972,0.005467294144666943,0.13136914257128296
9,NSLV-C,0.004510052768853499,1.5682721291423568e-05,0.042526248058881326,7.255953026457285e-10,0.018261254862093252,7.255953026457285e-10,7.83466169721609e-06
10,OCEC-C,0.039624231999583516,0.9232993844548713,0.03284506537140157,0.20838792822280428,0.04669018192424461,0.20838792822280428,0.0967937631537495
11,OIGA-C,0.0050450617413475805,3.8249935958448124e-10,0.26982784132304893,4.722084122597173e-08,0.006540891030390425,4.722084122597173e-08,5.5532332922174166e-05
12,PGIRLA-C,0.22253187312128941,8.92027999240716e-08,0.05944114588239263,0.9945746528765271,0.03394809781065968,0.9945746528765271,0.29120864965898985
13,Ripper-C,0.004623808656224024,7.250530482056584e-05,0.002529268520424504,0.2872297584072858,0.001801252765390643,0.2872297584072858,0.5489663064556201
14,SLAVE2-C,0.02689290697421991,3.1641469966503936e-05,0.22245318749032206,1.0048040809241863e-06,0.054151718306574066,1.0048040809241863e-06,0.0001570036229443025
15,SLAVEv0-C,0.593106056292423,0.000709802254783129,0.7898469614085397,0.0002231411765285857,0.6851076553759088,0.0002231411765285857,0.04457177505878256
