,Algorithm,MCC p-value,Specificity p-value,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,Mixed p-value
1,1R-C,0.7342835617606573,0.7016950643417978,0.8551010830598561,0.0007309152486832297,0.406314457912625,0.0007309152486832297,0.024652208334443957
2,C45-C,1.0159992222207428e-08,0.004547558071568351,2.6310140177197457e-09,9.600226263851308e-12,1.1388609860406478e-06,9.600226263851308e-12,1.2200904327765208e-11
3,C45Rules-C,1.3596071457848005e-09,0.01991904229042383,1.503297269119324e-10,2.539979113712632e-09,2.629966386123658e-07,2.539979113712632e-09,5.4623334805100235e-11
4,C45RulesSA-C,6.139248750082381e-10,0.005380788245682572,3.182603281149351e-11,3.3575009162261366e-10,2.0860005218151472e-07,3.3575009162261366e-10,3.845292814833092e-12
5,DT_GA-C,2.7627695139794565e-08,0.0029045947590070754,3.576781550596903e-09,2.3380190115383883e-11,5.473477993162244e-06,2.3380190115383883e-11,2.914896951724423e-11
6,DT_Oblique-C,1.0240407757955592e-06,0.011661194877512628,2.6614832442099056e-08,4.03046181026964e-07,0.00023113350420655125,4.03046181026964e-07,1.10822335068264e-08
7,GPR,9.072639571174429e-09,0.004004913378341365,3.1544929063196516e-09,4.695137307585994e-14,2.2672432255993923e-06,4.695137307585994e-14,4.815283069524567e-13
8,Hider-C,7.854173049771245e-07,0.0013381277591626934,2.723893195877114e-06,8.52444328092736e-09,1.019338349960402e-05,8.52444328092736e-09,1.7234106533204406e-08
9,NSLV-C,2.245986635751945e-09,0.0032313396810611087,4.022666131997602e-10,1.9939829755387005e-15,1.3721480260074684e-06,1.9939829755387005e-15,8.581433802038859e-14
10,OCEC-C,1.2287898986238618e-08,0.004164908635741544,7.504539134404351e-10,1.1008412312090361e-07,3.3693373918558348e-06,1.1008412312090361e-07,1.2197240184863769e-09
11,OIGA-C,2.740407794118137e-10,8.101550498653719e-05,9.344519683293639e-10,1.871349035993884e-14,2.3708926143371918e-09,1.871349035993884e-14,1.2486498996891924e-13
12,PGIRLA-C,0.02291057014186707,4.355801565922037e-05,0.021549303197005383,0.000668696150298374,0.30859826233490495,0.000668696150298374,0.0034819028283965005
13,Ripper-C,2.4762591725618126e-11,0.17147852684104825,2.4757574352852886e-13,1.026147526517471e-05,1.8116005473626132e-08,1.026147526517471e-05,4.908020175900653e-09
14,SLAVE2-C,2.3510523210216807e-08,0.0014050246764865067,7.842024073784766e-09,1.1523957074324068e-12,3.5994610738641758e-06,1.1523957074324068e-12,1.1190110421252186e-11
15,SLAVEv0-C,1.4808169665351348e-05,0.008707700474928807,2.982199954394815e-06,4.725903437280976e-11,0.00017077669587262567,4.725903437280976e-11,1.903437254361337e-09
