,Algorithm,MCC p-value,Specificity p-value,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,Mixed p-value
1,1R-C,2.1976972721107295e-11,3.619011379175529e-07,2.89402121584205e-11,3.955327829204593e-09,2.036158149358546e-11,3.955327829204593e-09,8.709864519897385e-11
2,C45-C,0.8474612352520605,0.3191035537298168,0.6051653273543255,0.26224135342876687,0.9607535247482654,0.26224135342876687,0.6357094581975604
3,C45Rules-C,0.8689528343265828,5.618415372111834e-05,0.08991325064217323,0.0027056800931405524,0.8627729810184264,0.0027056800931405524,0.21351324617830414
4,C45RulesSA-C,0.6243258678551736,0.00016366569817898046,0.05830340746271339,0.012343361197500301,0.5733960042033102,0.012343361197500301,0.44133083091014846
5,DT_GA-C,0.9265318196570983,0.8858479859200566,0.6478791582329123,0.33217368037619444,0.8834258394113129,0.33217368037619444,0.6232294241559471
6,DT_Oblique-C,0.0025644568209406073,1.0141174368850782e-06,0.0591883457009569,2.3190901619200343e-09,0.01482682200330368,2.3190901619200343e-09,1.0770044890997405e-05
7,EACH-C,9.072639571174429e-09,0.004004913378341365,3.1544929063196516e-09,4.695137307585994e-14,2.2672432255993923e-06,4.695137307585994e-14,4.815283069524567e-13
8,Hider-C,0.005561037081558176,0.542458554214482,0.0015507806449291926,0.002165732518920009,0.02956096022253918,0.002165732518920009,0.001977183869170446
9,NSLV-C,0.5979785025699895,0.1440906098624253,0.8152146944364591,0.7801787399531452,0.5164108537932091,0.7801787399531452,0.8133645835523609
10,OCEC-C,0.07246833723480565,0.00010898561803163944,0.8430342406385336,1.3491410210785015e-05,0.17446950037426612,1.3491410210785015e-05,0.003051324994489038
11,OIGA-C,0.6399223915239153,0.00018129006751992947,0.3130213315786943,0.8192310236320743,0.9848102570698992,0.8192310236320743,0.8725118072735775
12,PGIRLA-C,0.000335038394655423,0.9596194331461185,0.00043526115709214067,0.00010031581058577877,7.3876047222113264e-06,0.00010031581058577877,1.4890002238571992e-05
13,Ripper-C,0.5354689693057911,1.856017183976975e-08,0.42730210230754295,6.959570794906632e-08,0.6494002360528026,6.959570794906632e-08,0.0006886282906885903
14,SLAVE2-C,0.26528091126140296,0.32403149947074794,0.2345602558595954,0.4621151559106589,0.43351550690627516,0.4621151559106589,0.3237588683479222
15,SLAVEv0-C,0.001212348868129242,0.054148055721818515,0.001367141745442964,0.002320857564511131,0.006842628253818518,0.002320857564511131,0.0013380806613419896
