,Algorithm,MCC p-value,Specificity p-value,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,Mixed p-value
1,1R-C,2.1261955956916516e-07,3.3253580676377704e-05,3.0028497031533463e-06,0.0005964948690463835,7.247766991414894e-09,0.0005964948690463835,1.9711341748099547e-05
2,C45-C,0.0697945405363589,0.3124869399940926,0.010606884448141226,0.10235153757565127,0.12238635607094003,0.10235153757565127,0.10278673624252063
3,C45Rules-C,0.023727147564936713,0.0001605392538704116,0.00013568140506300038,0.9480627097895112,0.06759299691496913,0.9480627097895112,0.1666582914812864
4,C45RulesSA-C,0.01715651368447439,0.0004419495355621086,0.0001544425340039428,0.8441275646866693,0.04192862551236022,0.8441275646866693,0.1806694979521719
5,DT_GA-C,0.014425036454026763,0.7514144659414667,0.0018847319928999577,0.025256979179518416,0.03818789437997265,0.025256979179518416,0.014104260891654577
6,DT_Oblique-C,0.453964647178982,7.667705381112139e-06,0.317441879202392,0.005467294144666943,0.2966267244132972,0.005467294144666943,0.13136914257128296
7,EACH-C,7.854173049771245e-07,0.0013381277591626934,2.723893195877114e-06,8.52444328092736e-09,1.019338349960402e-05,8.52444328092736e-09,1.7234106533204406e-08
8,GPR,0.005561037081558176,0.542458554214482,0.0015507806449291926,0.002165732518920009,0.02956096022253918,0.002165732518920009,0.001977183869170446
9,NSLV-C,0.0907048081705885,0.27375816708025713,0.01642507762238481,0.006519532588715335,0.27324675541042953,0.006519532588715335,0.017481278745879535
10,OCEC-C,0.5942296764685031,0.0001943551298226837,0.017163605564018154,0.11556343223870774,0.9013807367415906,0.11556343223870774,0.7311117667501368
11,OIGA-C,0.06492378426471589,7.990261430894464e-05,0.10885289562370191,0.0022811325549147183,0.04918342657604421,0.0022811325549147183,0.008243059704229188
12,PGIRLA-C,0.033288620725922695,0.8298316128832315,0.06757636290191674,0.006837893288852983,0.00013437668177060619,0.006837893288852983,0.004869970985276336
13,Ripper-C,0.08396687372105927,1.2645102635351718e-07,0.0005674164867907168,0.0034263392649027044,0.06626973216817279,0.0034263392649027044,0.3113310574937439
14,SLAVE2-C,0.32445328091802894,0.349965631454086,0.14087229757892764,0.14497486287449013,0.6007884082301334,0.14497486287449013,0.16543995617310192
15,SLAVEv0-C,0.5797598384198602,0.02644086510736375,0.9538640191123147,0.5098740494792667,0.33632476161840097,0.5098740494792667,0.8013639380266379
