,Algorithm,MCC p-value,Specificity p-value,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,Mixed p-value
1,1R-C,4.455240868033897e-12,2.4898970946838285e-05,2.4450528247242516e-12,1.731327000225514e-10,1.976265392713968e-12,1.731327000225514e-10,3.197611799810448e-12
2,C45-C,0.580114363865629,0.9182726022415681,0.5946575121377988,0.1637512811668963,0.3781710035333009,0.1637512811668963,0.8615001339244629
3,C45Rules-C,0.4345598925289701,0.0002555578654191334,0.06776396996762254,0.0009748630579687281,0.15956306731688763,0.0009748630579687281,0.2703098397689716
4,C45RulesSA-C,0.5764519962973796,0.00040416315234340826,0.07156233301961618,0.0023422186241861096,0.3569923741994696,0.0023422186241861096,0.23523915941974627
5,DT_GA-C,0.9988570910583268,0.3746076768493989,0.9246793137872009,0.06491217568050431,0.6747043648106014,0.06491217568050431,0.30036878943546985
6,DT_Oblique-C,0.004510052768853499,1.5682721291423568e-05,0.042526248058881326,7.255953026457285e-10,0.018261254862093252,7.255953026457285e-10,7.83466169721609e-06
7,EACH-C,2.245986635751945e-09,0.0032313396810611087,4.022666131997602e-10,1.9939829755387005e-15,1.3721480260074684e-06,1.9939829755387005e-15,8.581433802038859e-14
8,GPR,0.5979785025699895,0.1440906098624253,0.8152146944364591,0.7801787399531452,0.5164108537932091,0.7801787399531452,0.8133645835523609
9,Hider-C,0.0907048081705885,0.27375816708025713,0.01642507762238481,0.006519532588715335,0.27324675541042953,0.006519532588715335,0.017481278745879535
10,OCEC-C,0.49754883215783097,4.883366952416256e-05,0.9277285870413754,1.6244705401228635e-05,0.5155331337002044,1.6244705401228635e-05,0.01614911055725132
11,OIGA-C,0.7461977779653619,5.970809641198842e-08,0.42914184835223435,0.9746996122738556,0.2981885322270965,0.9746996122738556,0.7720769539980843
12,PGIRLA-C,0.0007657631140138672,0.4733925467744654,0.00075541449425055,9.843464276423992e-05,1.2639171284416086e-05,9.843464276423992e-05,1.02731964432275e-05
13,Ripper-C,0.6956313543641458,7.434170430180131e-08,0.36641875070163965,8.677349022487708e-11,0.5497101405524119,8.677349022487708e-11,0.00014254531845255295
14,SLAVE2-C,0.3259424765554535,0.7493390535986648,0.21180610644902897,0.15461227915173564,0.6296893457547559,0.15461227915173564,0.24368329755975038
15,SLAVEv0-C,0.001408716950629465,0.26514782955428806,0.0005528696958630929,0.0006346976792861222,0.0057935970980846595,0.0006346976792861222,0.0008525637535485861
