,Algorithm,MCC p-value,Specificity p-value,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,Mixed p-value
1,1R-C,2.721810308025234e-11,8.747588077197679e-13,2.498847380407428e-10,4.3931269912216283e-10,3.111505360438663e-12,4.3931269912216283e-10,1.2150258075355729e-11
2,C45-C,0.7716334425803524,6.910878916464448e-05,0.4183294384794578,0.10407830056774639,0.6056515761091501,0.10407830056774639,0.3644085374978102
3,C45Rules-C,0.9715000349697719,1.7729594957717797e-09,0.09578667535124925,0.001631459432427169,0.8044244691876427,0.001631459432427169,0.17733614829208855
4,C45RulesSA-C,0.8069362326703395,6.829827491156179e-09,0.05328382876484554,0.011229567052041504,0.9622104721357945,0.011229567052041504,0.4219954740582754
5,DT_GA-C,0.7013543718280812,0.001411885008119915,0.5902150906704723,0.09893946523132927,0.44958536484494016,0.09893946523132927,0.3064744970281913
6,DT_Oblique-C,0.0050450617413475805,3.8249935958448124e-10,0.26982784132304893,4.722084122597173e-08,0.006540891030390425,4.722084122597173e-08,5.5532332922174166e-05
7,EACH-C,2.740407794118137e-10,8.101550498653719e-05,9.344519683293639e-10,1.871349035993884e-14,2.3708926143371918e-09,1.871349035993884e-14,1.2486498996891924e-13
8,GPR,0.6399223915239153,0.00018129006751992947,0.3130213315786943,0.8192310236320743,0.9848102570698992,0.8192310236320743,0.8725118072735775
9,Hider-C,0.06492378426471589,7.990261430894464e-05,0.10885289562370191,0.0022811325549147183,0.04918342657604421,0.0022811325549147183,0.008243059704229188
10,NSLV-C,0.7461977779653619,5.970809641198842e-08,0.42914184835223435,0.9746996122738556,0.2981885322270965,0.9746996122738556,0.7720769539980843
11,OCEC-C,0.4704257690729349,1.1344463655752857e-09,0.39837351977447033,8.356083016270923e-05,0.21198868253054048,8.356083016270923e-05,0.02496077118359102
12,PGIRLA-C,0.0006050741908058681,0.0004318773107663317,0.015147274889497202,3.472235620161149e-05,1.0501690095838861e-06,3.472235620161149e-05,7.982173585575634e-06
13,Ripper-C,0.6331298652334929,4.36998868385769e-11,0.1386196587730729,6.036294792168611e-09,0.7712849060002798,6.036294792168611e-09,7.102489474695328e-05
14,SLAVE2-C,0.5146323940481914,6.678462030405398e-07,0.8056942323562655,0.2781897068726724,0.18775940496488808,0.2781897068726724,0.31371253820407285
15,SLAVEv0-C,0.0477959750958416,9.699418167786606e-10,0.163797936128814,0.017292578820580055,0.024423021295468954,0.017292578820580055,0.0187850534945146
