,Algorithm,MCC p-value,Specificity p-value,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,Mixed p-value
1,1R-C,0.0009229655400774047,2.0131981533616878e-06,0.0012012541193200132,0.15741695503402775,0.045747446616475756,0.15741695503402775,0.06803434471727197
2,C45-C,0.00023456705809428086,0.050005891750048874,0.00030701496731408206,0.0005245486063408138,2.0638720842964012e-05,0.0005245486063408138,7.366569781093017e-05
3,C45Rules-C,0.0004407503764419528,8.76450543714464e-07,3.644985256230397e-05,0.04220889490968986,1.8191233025316622e-05,0.04220889490968986,0.0010405050366266838
4,C45RulesSA-C,0.00026250194837750196,6.114463153255945e-06,1.5432494800744747e-05,0.031210324765153747,1.9270593562152896e-05,0.031210324765153747,0.0008247962679104854
5,DT_GA-C,0.00019345214619768427,0.831270211121728,0.0002780744992164809,0.00023747394367065874,2.8582024889521384e-06,0.00023747394367065874,2.076978753785129e-05
6,DT_Oblique-C,0.22253187312128941,8.92027999240716e-08,0.05944114588239263,0.9945746528765271,0.03394809781065968,0.9945746528765271,0.29120864965898985
7,EACH-C,0.02291057014186707,4.355801565922037e-05,0.021549303197005383,0.000668696150298374,0.30859826233490495,0.000668696150298374,0.0034819028283965005
8,GPR,0.000335038394655423,0.9596194331461185,0.00043526115709214067,0.00010031581058577877,7.3876047222113264e-06,0.00010031581058577877,1.4890002238571992e-05
9,Hider-C,0.033288620725922695,0.8298316128832315,0.06757636290191674,0.006837893288852983,0.00013437668177060619,0.006837893288852983,0.004869970985276336
10,NSLV-C,0.0007657631140138672,0.4733925467744654,0.00075541449425055,9.843464276423992e-05,1.2639171284416086e-05,9.843464276423992e-05,1.02731964432275e-05
11,OCEC-C,0.000917983415824592,8.216006673576568e-06,4.5842114774747783e-05,0.19917523263162806,0.00019270678418016604,0.19917523263162806,0.009457050410375216
12,OIGA-C,0.0006050741908058681,0.0004318773107663317,0.015147274889497202,3.472235620161149e-05,1.0501690095838861e-06,3.472235620161149e-05,7.982173585575634e-06
13,Ripper-C,0.0022393041561930595,3.807086035823961e-10,8.028543132942798e-05,0.48965242387453745,8.02934504747984e-05,0.48965242387453745,0.41819203792609083
14,SLAVE2-C,0.006007061477913154,0.850335104295388,0.009024093861922457,0.0057258913443960485,4.751633707238655e-05,0.0057258913443960485,0.00032479145131584543
15,SLAVEv0-C,0.3489289059744958,0.12743041216492065,0.315041714351016,0.08404884391562703,0.005283668172164171,0.08404884391562703,0.030043558387260923
