,Algorithm,MCC p-value,Specificity p-value,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,Mixed p-value
1,1R-C,7.737720897151245e-13,0.6015426024258681,8.907526734219983e-14,0.5851982433132286,5.417320530369865e-15,0.5851982433132286,0.0002774085629819328
2,C45-C,0.7047342086719602,1.4347762679068932e-07,0.4736861857004898,5.667762493042634e-07,0.6742493153963689,5.667762493042634e-07,0.0016084807863519417
3,C45Rules-C,0.7223327731923903,5.1079731373300305e-05,0.8207861765907433,0.0005581021914804245,0.7183637581482242,0.0005581021914804245,0.018424130490436348
4,C45RulesSA-C,0.678978889696827,1.110473639301321e-06,0.6980215896452904,0.00038408487391547425,0.7849400600457775,0.00038408487391547425,0.019915064437720998
5,DT_GA-C,0.9751331837087069,6.55803971905157e-09,0.24814361218798953,2.279312905480692e-06,0.5191761576267211,2.279312905480692e-06,0.005006193224948125
6,DT_Oblique-C,0.004623808656224024,7.250530482056584e-05,0.002529268520424504,0.2872297584072858,0.001801252765390643,0.2872297584072858,0.5489663064556201
7,EACH-C,2.4762591725618126e-11,0.17147852684104825,2.4757574352852886e-13,1.026147526517471e-05,1.8116005473626132e-08,1.026147526517471e-05,4.908020175900653e-09
8,GPR,0.5354689693057911,1.856017183976975e-08,0.42730210230754295,6.959570794906632e-08,0.6494002360528026,6.959570794906632e-08,0.0006886282906885903
9,Hider-C,0.08396687372105927,1.2645102635351718e-07,0.0005674164867907168,0.0034263392649027044,0.06626973216817279,0.0034263392649027044,0.3113310574937439
10,NSLV-C,0.6956313543641458,7.434170430180131e-08,0.36641875070163965,8.677349022487708e-11,0.5497101405524119,8.677349022487708e-11,0.00014254531845255295
11,OCEC-C,0.9887881076403211,1.073014274397766e-05,0.8889144109606397,0.0504554276453277,0.3055735021897076,0.0504554276453277,0.11115102121895883
12,OIGA-C,0.6331298652334929,4.36998868385769e-11,0.1386196587730729,6.036294792168611e-09,0.7712849060002798,6.036294792168611e-09,7.102489474695328e-05
13,PGIRLA-C,0.0022393041561930595,3.807086035823961e-10,8.028543132942798e-05,0.48965242387453745,8.02934504747984e-05,0.48965242387453745,0.41819203792609083
14,SLAVE2-C,0.6364227471720225,6.446142878476617e-08,0.07155117864111145,1.8184302220216193e-07,0.24174552685551032,1.8184302220216193e-07,0.0037424824418479706
15,SLAVEv0-C,0.027647531979204797,8.893710747107324e-06,0.0007177742320934452,5.1710577690386255e-05,0.004719900704835749,5.1710577690386255e-05,0.14371904559420653
