,Algorithm,MCC p-value,Specificity p-value,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,Mixed p-value
1,1R-C,1.7480739611270776e-10,0.00012511004328814954,2.8725896949392357e-10,7.96915783574428e-08,2.6172066937327426e-11,7.96915783574428e-08,7.56857724986429e-10
2,C45-C,0.2500465909127888,0.7864026674826403,0.13450431438434438,0.9816575233502655,0.20352550052345864,0.9816575233502655,0.46945016306875187
3,C45Rules-C,0.19922994627636514,0.00024049983298519447,0.006990394721418261,0.05076876567677114,0.14440930638325183,0.05076876567677114,0.8538643952729938
4,C45RulesSA-C,0.1923064752046152,0.0014315356798547843,0.004403838166700114,0.06595226773739216,0.18508166679451532,0.06595226773739216,0.8667086347728603
5,DT_GA-C,0.2922466776999222,0.3684386594575376,0.1958235279370013,0.9181450485670695,0.3300373446229351,0.9181450485670695,0.6663387919439312
6,DT_Oblique-C,0.02689290697421991,3.1641469966503936e-05,0.22245318749032206,1.0048040809241863e-06,0.054151718306574066,1.0048040809241863e-06,0.0001570036229443025
7,EACH-C,2.3510523210216807e-08,0.0014050246764865067,7.842024073784766e-09,1.1523957074324068e-12,3.5994610738641758e-06,1.1523957074324068e-12,1.1190110421252186e-11
8,GPR,0.26528091126140296,0.32403149947074794,0.2345602558595954,0.4621151559106589,0.43351550690627516,0.4621151559106589,0.3237588683479222
9,Hider-C,0.32445328091802894,0.349965631454086,0.14087229757892764,0.14497486287449013,0.6007884082301334,0.14497486287449013,0.16543995617310192
10,NSLV-C,0.3259424765554535,0.7493390535986648,0.21180610644902897,0.15461227915173564,0.6296893457547559,0.15461227915173564,0.24368329755975038
11,OCEC-C,0.9516963609560674,1.6057223864023333e-05,0.3305418298916035,0.0005505002034511312,0.9155750866574262,0.0005505002034511312,0.13710668557152336
12,OIGA-C,0.5146323940481914,6.678462030405398e-07,0.8056942323562655,0.2781897068726724,0.18775940496488808,0.2781897068726724,0.31371253820407285
13,PGIRLA-C,0.006007061477913154,0.850335104295388,0.009024093861922457,0.0057258913443960485,4.751633707238655e-05,0.0057258913443960485,0.00032479145131584543
14,Ripper-C,0.6364227471720225,6.446142878476617e-08,0.07155117864111145,1.8184302220216193e-07,0.24174552685551032,1.8184302220216193e-07,0.0037424824418479706
15,SLAVEv0-C,0.007820670942317455,0.01365105749498575,0.02226908653502609,0.017476690226957876,0.006091243392029232,0.017476690226957876,0.00791311121052933
