,Algorithm,MCC p-value,Specificity p-value,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,Mixed p-value
1,1R-C,3.271593985049336e-07,0.004556510356750284,2.560862733849569e-07,6.0383497393789406e-05,6.338723819021773e-09,6.0383497393789406e-05,2.6745194629579825e-06
2,C45-C,0.0015418675143220517,0.3870993504707818,0.0005969640888229291,0.056732420888220655,0.002136628724953387,0.056732420888220655,0.00716974197569408
3,C45Rules-C,0.005075660289886708,0.0034635727247791814,0.00025929508174080216,0.5863331823073212,0.002929524013475619,0.5863331823073212,0.2283267430901631
4,C45RulesSA-C,0.0032730276040163196,0.024170705910089307,9.917952619398813e-05,0.6271630580898269,0.0018505332731987077,0.6271630580898269,0.19472198801897422
5,DT_GA-C,0.0018689772695329111,0.04442957746567352,0.001194925350055103,0.1409461909159822,0.0015448988227341502,0.1409461909159822,0.019865034814924614
6,DT_Oblique-C,0.593106056292423,0.000709802254783129,0.7898469614085397,0.0002231411765285857,0.6851076553759088,0.0002231411765285857,0.04457177505878256
7,EACH-C,1.4808169665351348e-05,0.008707700474928807,2.982199954394815e-06,4.725903437280976e-11,0.00017077669587262567,4.725903437280976e-11,1.903437254361337e-09
8,GPR,0.001212348868129242,0.054148055721818515,0.001367141745442964,0.002320857564511131,0.006842628253818518,0.002320857564511131,0.0013380806613419896
9,Hider-C,0.5797598384198602,0.02644086510736375,0.9538640191123147,0.5098740494792667,0.33632476161840097,0.5098740494792667,0.8013639380266379
10,NSLV-C,0.001408716950629465,0.26514782955428806,0.0005528696958630929,0.0006346976792861222,0.0057935970980846595,0.0006346976792861222,0.0008525637535485861
11,OCEC-C,0.04910884218890679,0.002148128064347281,0.005362073119550273,0.027605544619969474,0.07345809225609568,0.027605544619969474,0.7302930526071596
12,OIGA-C,0.0477959750958416,9.699418167786606e-10,0.163797936128814,0.017292578820580055,0.024423021295468954,0.017292578820580055,0.0187850534945146
13,PGIRLA-C,0.3489289059744958,0.12743041216492065,0.315041714351016,0.08404884391562703,0.005283668172164171,0.08404884391562703,0.030043558387260923
14,Ripper-C,0.027647531979204797,8.893710747107324e-06,0.0007177742320934452,5.1710577690386255e-05,0.004719900704835749,5.1710577690386255e-05,0.14371904559420653
15,SLAVE2-C,0.007820670942317455,0.01365105749498575,0.02226908653502609,0.017476690226957876,0.006091243392029232,0.017476690226957876,0.00791311121052933
