,1R-C,Algorithm,p-value
1,1R-C,C45-C,1.454765433808222e-11
2,1R-C,C45Rules-C,2.5445480882134606e-10
3,1R-C,C45RulesSA-C,3.08902021024653e-10
4,1R-C,DT_GA-C,1.3495504183512748e-10
5,1R-C,DT_Oblique-C,3.861914410825403e-06
6,1R-C,EACH-C,3.63488200792185e-05
7,1R-C,GPR,1.1657870752569867e-10
8,1R-C,Hider-C,3.2906578881167574e-06
9,1R-C,NSLV-C,8.82692548640746e-13
10,1R-C,OCEC-C,1.0975240513957388e-07
11,1R-C,OIGA-C,2.6409085612134144e-10
12,1R-C,PGIRLA-C,0.05963503311648566
13,1R-C,Ripper-C,0.00021385837381817274
14,1R-C,SLAVE2-C,1.4155478813651516e-10
15,1R-C,SLAVEv0-C,1.6007054587295554e-07
