,C45-C,Algorithm,p-value
1,C45-C,1R-C,1.454765433808222e-11
2,C45-C,C45Rules-C,0.783227234458852
3,C45-C,C45RulesSA-C,0.7637955506750074
4,C45-C,DT_GA-C,0.507877615273969
5,C45-C,DT_Oblique-C,0.0002029473699700303
6,C45-C,EACH-C,5.5232873402001675e-15
7,C45-C,GPR,0.7598434919536377
8,C45-C,Hider-C,0.030604958329600012
9,C45-C,NSLV-C,0.873232932344371
10,C45-C,OCEC-C,0.06226174520635686
11,C45-C,OIGA-C,0.6939524143531814
12,C45-C,PGIRLA-C,3.2598305143699624e-05
13,C45-C,Ripper-C,0.0002638724622422369
14,C45-C,SLAVE2-C,0.415044217315529
15,C45-C,SLAVEv0-C,0.007354006826745777
