,C45Rules-C,Algorithm,p-value
1,C45Rules-C,1R-C,2.5445480882134606e-10
2,C45Rules-C,C45-C,0.783227234458852
3,C45Rules-C,C45RulesSA-C,0.993491660443455
4,C45Rules-C,DT_GA-C,0.9986485291360482
5,C45Rules-C,DT_Oblique-C,0.001970869483539257
6,C45Rules-C,EACH-C,1.0308638793907955e-14
7,C45Rules-C,GPR,0.9373777739257879
8,C45Rules-C,Hider-C,0.056047794520871684
9,C45Rules-C,NSLV-C,0.8103261610265671
10,C45Rules-C,OCEC-C,0.042766465397785676
11,C45Rules-C,OIGA-C,0.8776131067773274
12,C45Rules-C,PGIRLA-C,0.0003229506521146821
13,C45Rules-C,Ripper-C,0.003912003293728667
14,C45Rules-C,SLAVE2-C,0.6857275415556275
15,C45Rules-C,SLAVEv0-C,0.08112974446476223
