,C45RulesSA-C,Algorithm,p-value
1,C45RulesSA-C,1R-C,3.08902021024653e-10
2,C45RulesSA-C,C45-C,0.7637955506750074
3,C45RulesSA-C,C45Rules-C,0.993491660443455
4,C45RulesSA-C,DT_GA-C,0.8051064274004744
5,C45RulesSA-C,DT_Oblique-C,0.0021671833751357433
6,C45RulesSA-C,EACH-C,4.453296756914758e-15
7,C45RulesSA-C,GPR,0.9373777203494664
8,C45RulesSA-C,Hider-C,0.05300671105179997
9,C45RulesSA-C,NSLV-C,0.510578890266788
10,C45RulesSA-C,OCEC-C,0.10416049851395386
11,C45RulesSA-C,OIGA-C,0.7972955189906763
12,C45RulesSA-C,PGIRLA-C,0.00044655485326001006
13,C45RulesSA-C,Ripper-C,0.0036451103475768345
14,C45RulesSA-C,SLAVE2-C,0.9796467523051211
15,C45RulesSA-C,SLAVEv0-C,0.10863772840681996
