,DT_GA-C,Algorithm,p-value
1,DT_GA-C,1R-C,1.3495504183512748e-10
2,DT_GA-C,C45-C,0.507877615273969
3,DT_GA-C,C45Rules-C,0.9986485291360482
4,DT_GA-C,C45RulesSA-C,0.8051064274004744
5,DT_GA-C,DT_Oblique-C,0.0008249129363608702
6,DT_GA-C,EACH-C,3.6730466532908323e-14
7,DT_GA-C,GPR,0.8786551540639377
8,DT_GA-C,Hider-C,0.015519627330748477
9,DT_GA-C,NSLV-C,0.3153161876412569
10,DT_GA-C,OCEC-C,0.11956238284717959
11,DT_GA-C,OIGA-C,0.9025891008986554
12,DT_GA-C,PGIRLA-C,2.3133260524421792e-05
13,DT_GA-C,Ripper-C,0.0025394754686644478
14,DT_GA-C,SLAVE2-C,0.9200484949836649
15,DT_GA-C,SLAVEv0-C,0.027573382710705023
