,DT_Oblique-C,Algorithm,p-value
1,DT_Oblique-C,1R-C,3.861914410825403e-06
2,DT_Oblique-C,C45-C,0.0002029473699700303
3,DT_Oblique-C,C45Rules-C,0.001970869483539257
4,DT_Oblique-C,C45RulesSA-C,0.0021671833751357433
5,DT_Oblique-C,DT_GA-C,0.0008249129363608702
6,DT_Oblique-C,EACH-C,1.6703112116505433e-13
7,DT_Oblique-C,GPR,0.0013698861047725269
8,DT_Oblique-C,Hider-C,0.31494716565161807
9,DT_Oblique-C,NSLV-C,0.00011866501461837948
10,DT_Oblique-C,OCEC-C,0.21154437104435653
11,DT_Oblique-C,OIGA-C,0.009130155916730947
12,DT_Oblique-C,PGIRLA-C,0.16817805061679592
13,DT_Oblique-C,Ripper-C,0.6407008304692083
14,DT_Oblique-C,SLAVE2-C,0.0016440762443549347
15,DT_Oblique-C,SLAVEv0-C,0.09906015377648103
