,EACH-C,Algorithm,p-value
1,EACH-C,1R-C,3.63488200792185e-05
2,EACH-C,C45-C,5.5232873402001675e-15
3,EACH-C,C45Rules-C,1.0308638793907955e-14
4,EACH-C,C45RulesSA-C,4.453296756914758e-15
5,EACH-C,DT_GA-C,3.6730466532908323e-14
6,EACH-C,DT_Oblique-C,1.6703112116505433e-13
7,EACH-C,GPR,1.830133769756008e-15
8,EACH-C,Hider-C,6.8870600189617875e-12
9,EACH-C,NSLV-C,2.915505591513068e-16
10,EACH-C,OCEC-C,4.0071498630298505e-13
11,EACH-C,OIGA-C,8.6424627000752965e-16
12,EACH-C,PGIRLA-C,0.0001902838717326233
13,EACH-C,Ripper-C,3.439604792679849e-12
14,EACH-C,SLAVE2-C,7.984451803913434e-15
15,EACH-C,SLAVEv0-C,2.4506622176379846e-13
