,GPR,Algorithm,p-value
1,GPR,1R-C,1.1657870752569867e-10
2,GPR,C45-C,0.7598434919536377
3,GPR,C45Rules-C,0.9373777739257879
4,GPR,C45RulesSA-C,0.9373777203494664
5,GPR,DT_GA-C,0.8786551540639377
6,GPR,DT_Oblique-C,0.0013698861047725269
7,GPR,EACH-C,1.830133769756008e-15
8,GPR,Hider-C,0.010510212859768778
9,GPR,NSLV-C,0.7611695649968372
10,GPR,OCEC-C,0.03493153161620919
11,GPR,OIGA-C,0.6263674824131968
12,GPR,PGIRLA-C,8.056407623352856e-05
13,GPR,Ripper-C,0.0018977339311953235
14,GPR,SLAVE2-C,0.6247423245815518
15,GPR,SLAVEv0-C,0.01020829988397427
