,Hider-C,Algorithm,p-value
1,Hider-C,1R-C,3.2906578881167574e-06
2,Hider-C,C45-C,0.030604958329600012
3,Hider-C,C45Rules-C,0.056047794520871684
4,Hider-C,C45RulesSA-C,0.05300671105179997
5,Hider-C,DT_GA-C,0.015519627330748477
6,Hider-C,DT_Oblique-C,0.31494716565161807
7,Hider-C,EACH-C,6.8870600189617875e-12
8,Hider-C,GPR,0.010510212859768778
9,Hider-C,NSLV-C,0.014065194024615493
10,Hider-C,OCEC-C,0.9704471743391891
11,Hider-C,OIGA-C,0.05449013041594119
12,Hider-C,PGIRLA-C,0.003258507752159272
13,Hider-C,Ripper-C,0.21337243203964096
14,Hider-C,SLAVE2-C,0.1049255665854846
15,Hider-C,SLAVEv0-C,0.7104484406229605
