,NSLV-C,Algorithm,p-value
1,NSLV-C,1R-C,8.82692548640746e-13
2,NSLV-C,C45-C,0.873232932344371
3,NSLV-C,C45Rules-C,0.8103261610265671
4,NSLV-C,C45RulesSA-C,0.510578890266788
5,NSLV-C,DT_GA-C,0.3153161876412569
6,NSLV-C,DT_Oblique-C,0.00011866501461837948
7,NSLV-C,EACH-C,2.915505591513068e-16
8,NSLV-C,GPR,0.7611695649968372
9,NSLV-C,Hider-C,0.014065194024615493
10,NSLV-C,OCEC-C,0.047546561012499225
11,NSLV-C,OIGA-C,0.33088627486269806
12,NSLV-C,PGIRLA-C,1.9477812070933956e-05
13,NSLV-C,Ripper-C,4.936011859467296e-05
14,NSLV-C,SLAVE2-C,0.2693070961031473
15,NSLV-C,SLAVEv0-C,0.0017369004661636218
