,OCEC-C,Algorithm,p-value
1,OCEC-C,1R-C,1.0975240513957388e-07
2,OCEC-C,C45-C,0.06226174520635686
3,OCEC-C,C45Rules-C,0.042766465397785676
4,OCEC-C,C45RulesSA-C,0.10416049851395386
5,OCEC-C,DT_GA-C,0.11956238284717959
6,OCEC-C,DT_Oblique-C,0.21154437104435653
7,OCEC-C,EACH-C,4.0071498630298505e-13
8,OCEC-C,GPR,0.03493153161620919
9,OCEC-C,Hider-C,0.9704471743391891
10,OCEC-C,NSLV-C,0.047546561012499225
11,OCEC-C,OIGA-C,0.313480357029979
12,OCEC-C,PGIRLA-C,0.006524304084427001
13,OCEC-C,Ripper-C,0.06415579896918486
14,OCEC-C,SLAVE2-C,0.15167300098559694
15,OCEC-C,SLAVEv0-C,0.813423915580332
