,OIGA-C,Algorithm,p-value
1,OIGA-C,1R-C,2.6409085612134144e-10
2,OIGA-C,C45-C,0.6939524143531814
3,OIGA-C,C45Rules-C,0.8776131067773274
4,OIGA-C,C45RulesSA-C,0.7972955189906763
5,OIGA-C,DT_GA-C,0.9025891008986554
6,OIGA-C,DT_Oblique-C,0.009130155916730947
7,OIGA-C,EACH-C,8.6424627000752965e-16
8,OIGA-C,GPR,0.6263674824131968
9,OIGA-C,Hider-C,0.05449013041594119
10,OIGA-C,NSLV-C,0.33088627486269806
11,OIGA-C,OCEC-C,0.313480357029979
12,OIGA-C,PGIRLA-C,0.0011820624782212458
13,OIGA-C,Ripper-C,0.0006078190118542889
14,OIGA-C,SLAVE2-C,0.7503741362749894
15,OIGA-C,SLAVEv0-C,0.3113395198543445
