,PGIRLA-C,Algorithm,p-value
1,PGIRLA-C,1R-C,0.05963503311648566
2,PGIRLA-C,C45-C,3.2598305143699624e-05
3,PGIRLA-C,C45Rules-C,0.0003229506521146821
4,PGIRLA-C,C45RulesSA-C,0.00044655485326001006
5,PGIRLA-C,DT_GA-C,2.3133260524421792e-05
6,PGIRLA-C,DT_Oblique-C,0.16817805061679592
7,PGIRLA-C,EACH-C,0.0001902838717326233
8,PGIRLA-C,GPR,8.056407623352856e-05
9,PGIRLA-C,Hider-C,0.003258507752159272
10,PGIRLA-C,NSLV-C,1.9477812070933956e-05
11,PGIRLA-C,OCEC-C,0.006524304084427001
12,PGIRLA-C,OIGA-C,0.0011820624782212458
13,PGIRLA-C,Ripper-C,0.610891106032103
14,PGIRLA-C,SLAVE2-C,0.000573013041501351
15,PGIRLA-C,SLAVEv0-C,0.030232561081911944
