,Ripper-C,Algorithm,p-value
1,Ripper-C,1R-C,0.00021385837381817274
2,Ripper-C,C45-C,0.0002638724622422369
3,Ripper-C,C45Rules-C,0.003912003293728667
4,Ripper-C,C45RulesSA-C,0.0036451103475768345
5,Ripper-C,DT_GA-C,0.0025394754686644478
6,Ripper-C,DT_Oblique-C,0.6407008304692083
7,Ripper-C,EACH-C,3.439604792679849e-12
8,Ripper-C,GPR,0.0018977339311953235
9,Ripper-C,Hider-C,0.21337243203964096
10,Ripper-C,NSLV-C,4.936011859467296e-05
11,Ripper-C,OCEC-C,0.06415579896918486
12,Ripper-C,OIGA-C,0.0006078190118542889
13,Ripper-C,PGIRLA-C,0.610891106032103
14,Ripper-C,SLAVE2-C,0.0020533163694187724
15,Ripper-C,SLAVEv0-C,0.07732405354172228
