,SLAVE2-C,Algorithm,p-value
1,SLAVE2-C,1R-C,1.4155478813651516e-10
2,SLAVE2-C,C45-C,0.415044217315529
3,SLAVE2-C,C45Rules-C,0.6857275415556275
4,SLAVE2-C,C45RulesSA-C,0.9796467523051211
5,SLAVE2-C,DT_GA-C,0.9200484949836649
6,SLAVE2-C,DT_Oblique-C,0.0016440762443549347
7,SLAVE2-C,EACH-C,7.984451803913434e-15
8,SLAVE2-C,GPR,0.6247423245815518
9,SLAVE2-C,Hider-C,0.1049255665854846
10,SLAVE2-C,NSLV-C,0.2693070961031473
11,SLAVE2-C,OCEC-C,0.15167300098559694
12,SLAVE2-C,OIGA-C,0.7503741362749894
13,SLAVE2-C,PGIRLA-C,0.000573013041501351
14,SLAVE2-C,Ripper-C,0.0020533163694187724
15,SLAVE2-C,SLAVEv0-C,0.023823468019402733
