,SLAVEv0-C,Algorithm,p-value
1,SLAVEv0-C,1R-C,1.6007054587295554e-07
2,SLAVEv0-C,C45-C,0.007354006826745777
3,SLAVEv0-C,C45Rules-C,0.08112974446476223
4,SLAVEv0-C,C45RulesSA-C,0.10863772840681996
5,SLAVEv0-C,DT_GA-C,0.027573382710705023
6,SLAVEv0-C,DT_Oblique-C,0.09906015377648103
7,SLAVEv0-C,EACH-C,2.4506622176379846e-13
8,SLAVEv0-C,GPR,0.01020829988397427
9,SLAVEv0-C,Hider-C,0.7104484406229605
10,SLAVEv0-C,NSLV-C,0.0017369004661636218
11,SLAVEv0-C,OCEC-C,0.813423915580332
12,SLAVEv0-C,OIGA-C,0.3113395198543445
13,SLAVEv0-C,PGIRLA-C,0.030232561081911944
14,SLAVEv0-C,Ripper-C,0.07732405354172228
15,SLAVEv0-C,SLAVE2-C,0.023823468019402733
