,1R-C,Algorithm,p-value
1,1R-C,C45-C,0.012374939995237448
2,1R-C,C45Rules-C,1.3304884542567737e-05
3,1R-C,C45RulesSA-C,2.0823699556783622e-05
4,1R-C,DT_GA-C,0.19040520599677924
5,1R-C,DT_Oblique-C,0.00425876185878154
6,1R-C,EACH-C,0.3418594509196107
7,1R-C,GPR,0.026121513715395606
8,1R-C,Hider-C,0.23592785156698304
9,1R-C,NSLV-C,0.006526038567750868
10,1R-C,OCEC-C,0.00015404734369366
11,1R-C,OIGA-C,0.1307030476763162
12,1R-C,PGIRLA-C,0.18788483870832762
13,1R-C,Ripper-C,2.170238883467882e-10
14,1R-C,SLAVE2-C,0.11121433028102208
15,1R-C,SLAVEv0-C,0.275734091092832
