,C45RulesSA-C,Algorithm,p-value
1,C45RulesSA-C,1R-C,2.0823699556783622e-05
2,C45RulesSA-C,C45-C,2.4878304163100188e-05
3,C45RulesSA-C,C45Rules-C,0.7273072224847821
4,C45RulesSA-C,DT_GA-C,5.011863483206683e-06
5,C45RulesSA-C,DT_Oblique-C,0.0008585143716738397
6,C45RulesSA-C,EACH-C,0.005800348008812989
7,C45RulesSA-C,GPR,0.00035633493462238413
8,C45RulesSA-C,Hider-C,2.9232478699847083e-08
9,C45RulesSA-C,NSLV-C,0.0024869805839762304
10,C45RulesSA-C,OCEC-C,0.4585004285171216
11,C45RulesSA-C,OIGA-C,9.995876294893217e-08
12,C45RulesSA-C,PGIRLA-C,5.124685002621705e-10
13,C45RulesSA-C,Ripper-C,1.5923520476114564e-06
14,C45RulesSA-C,SLAVE2-C,0.00020442058396854992
15,C45RulesSA-C,SLAVEv0-C,8.36985386668863e-06
